Reduced electric field (Td),Mobility (cm2/Vs)
5.0000E+00,1.8300E+00
6.0000E+00,1.8300E+00
8.0000E+00,1.8300E+00
1.0000E+01,1.8300E+00
1.2000E+01,1.8300E+00
1.5000E+01,1.8300E+00
2.0000E+01,1.8300E+00
2.5000E+01,1.8400E+00
3.0000E+01,1.8400E+00
4.0000E+01,1.8500E+00
5.0000E+01,1.8600E+00
6.0000E+01,1.8800E+00
8.0000E+01,1.9100E+00
1.0000E+02,1.9300E+00
1.2000E+02,1.9300E+00
1.4000E+02,1.9000E+00
1.6000E+02,1.8600E+00
1.7000E+02,1.8000E+00
