obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Source
,905.7493,,9.7e+04,3.6e-03,E,108722.6194,119760.1725,3s2.3p5.(2P*<1/2>).4p,2[1/2],0,3s2.3p5.(2P*<3/2>).6s,2[3/2]*,1,1,3,,T1203,,NIST
907.5394,907.5395,20,1.2e+06,4.9e-03,D,107496.4166,118512.197,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).4d,2[1/2]*,0,3,1,,T1218n,L2634,NIST
912.2967,912.2967,35000,1.89e+07,1.42e-01,B,93143.7600,104102.0990,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,2,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,5,3,,T5223,L2634,NIST
919.4638,919.4638,550,1.76e+06,2.23e-02,C,104102.0990,114975.019,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<1/2>).5s,2[1/2]*,1,3,3,,T1618n,L2634,NIST
922.4499,922.4498,15000,5.0e+06,1.07e-01,B,95399.8276,106237.5518,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3,5,,T5223,L2634,NIST
929.1531,929.1532,400,3.26e+06,1.41e-02,C,104102.0990,114861.635,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<1/2>).5s,2[1/2]*,0,3,1,,T1618n,L2634,NIST
935.4220,935.4218,1600,1.06e+06,1.39e-02,B,95399.8276,106087.2598,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3,3,,T5223,L2634,NIST
965.7786,965.7786,25000,5.4e+06,7.6e-02,B,93750.5978,104102.0990,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3,3,,T5223,L2634,NIST
978.4503,978.4502,4500,1.47e+06,3.5e-02,B,95399.8276,105617.2700,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3,5,,T5223,L2634,NIST
1047.0054,1047.0053,1600,9.8e+05,4.8e-02,C+,94553.6652,104102.0990,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,0,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,1,3,,T5223,L2634,NIST
1047.8034,1047.8034,13,2.44e+06,4.02e-02,C,104102.0990,113643.260,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,1,3,3,,T1618n,L2634,NIST
,1050.6118,,1.58e+06,2.62e-02,C,112138.924,121654.580,3s2.3p5.(2P*<3/2>).3d,2[3/2]*,2,3s2.3p5.(2P*<1/2>).4f,2[5/2],2,5,5,,T1618n,,NIST
1050.650,1050.6500,180,1.58e+06,3.66e-02,C,112138.924,121654.234,3s2.3p5.(2P*<3/2>).3d,2[3/2]*,2,3s2.3p5.(2P*<1/2>).4f,2[5/2],3,5,7,,T1618n,L2131,NIST
1067.3565,1067.3566,200,4.9e+06,1.4e-01,D,104102.0990,113468.473,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,2,3,5,,T1372,L2634,NIST
,1068.3404,,2.1e+05,2.2e-03,E,105617.2700,114975.019,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<1/2>).5s,2[1/2]*,1,5,3,,T1372,,NIST
,1095.0726,,3.96e+05,4.27e-03,C,106237.5518,115366.866,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<1/2>).3d,2[3/2]*,1,5,3,,T1618n,,NIST
1107.8869,1107.8868,11,8.3e+05,1.5e-02,C,105617.2700,114640.992,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<1/2>).3d,2[5/2]*,2,5,5,,T1618n,L2634,NIST
,1124.8350,,2.8e+05,5.3e-03,E,106087.2598,114975.019,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3s2.3p5.(2P*<1/2>).5s,2[1/2]*,1,3,3,,T1372,,NIST
,1139.3703,,2.22e+06,1.44e-02,C,106087.2598,114861.635,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3s2.3p5.(2P*<1/2>).5s,2[1/2]*,0,3,1,,T1618n,,NIST
1144.1832,1144.1832,12,1.39e+06,1.64e-02,C,106237.5518,114975.019,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<1/2>).5s,2[1/2]*,1,5,3,,T1618n,L2634,NIST
,1146.7545,,3.69e+05,1.21e-02,C,106087.2598,114805.135,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3s2.3p5.(2P*<1/2>).3d,2[3/2]*,2,3,5,,T1618n,,NIST
1148.8109,1148.8108,400,1.9e+05,3.8e-03,C,95399.8276,104102.0990,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3,3,,T1242n,L2634,NIST
,1158.0389,,3.46e+05,8.95e-03,C,113020.355,121653.280,3s2.3p5.(2P*<3/2>).3d,2[7/2]*,3,3s2.3p5.(2P*<1/2>).4f,2[7/2],4,7,9,,T1618n,,NIST
,1158.0446,,3.46e+05,6.96e-03,C,113020.355,121653.238,3s2.3p5.(2P*<3/2>).3d,2[7/2]*,3,3s2.3p5.(2P*<1/2>).4f,2[7/2],3,7,7,,T1618n,,NIST
1166.8710,1166.8709,200,3.76e+06,7.68e-02,C,106237.5518,114805.135,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<1/2>).3d,2[3/2]*,2,5,5,,T1618n,L2634,NIST
1171.9488,1171.9487,12,9.52e+05,1.18e-02,C,105617.2700,114147.732,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).3d,2[3/2]*,1,5,3,,T1618n,L2634,NIST
,1173.3236,,6.7e+05,4.2e-02,C,111667.766,120188.232,3s2.3p5.(2P*<3/2>).3d,2[1/2]*,0,3s2.3p5.(2P*<3/2>).4f,2[3/2],1,1,3,,T1618n,,NIST
,1194.3302,,4.6e+06,1.6e-01,D+,111818.028,120188.631,3s2.3p5.(2P*<3/2>).3d,2[1/2]*,1,3s2.3p5.(2P*<3/2>).4f,2[3/2],2,3,5,,T1618n,,NIST
,1194.3871,,4.6e+06,9.8e-02,D+,111818.028,120188.232,3s2.3p5.(2P*<3/2>).3d,2[1/2]*,1,3s2.3p5.(2P*<3/2>).4f,2[3/2],1,3,3,,T1618n,,NIST
,1202.6648,,4.2e+05,2.7e-02,D,107054.2720,115366.866,3s2.3p5.(2P*<3/2>).4p,2[1/2],0,3s2.3p5.(2P*<1/2>).3d,2[3/2]*,1,1,3,,T1618n,,NIST
1211.2326,1211.2324,200,3.1e+06,6.8e-02,D,105462.7596,113716.555,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<3/2>).3d,2[5/2]*,3,7,7,,T1618n,L2634,NIST
1213.9738,1213.9737,50,4.5e+06,9.9e-02,D,107131.7086,115366.866,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3s2.3p5.(2P*<1/2>).3d,2[3/2]*,1,3,3,,T1618n,L2634,NIST
1234.3393,1234.3392,50,2.0e+06,6.4e-02,D,105617.2700,113716.555,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).3d,2[5/2]*,3,5,7,,T1618n,L2634,NIST
,1235.5819,,3.5e+06,8.0e-02,D,112138.924,120230.063,3s2.3p5.(2P*<3/2>).3d,2[3/2]*,2,3s2.3p5.(2P*<3/2>).4f,2[5/2],2,5,5,,T1618n,,NIST
,1235.6297,,3.5e+06,1.1e-01,D,112138.924,120229.750,3s2.3p5.(2P*<3/2>).3d,2[3/2]*,2,3s2.3p5.(2P*<3/2>).4f,2[5/2],3,5,7,,T1618n,,NIST
1240.2827,1240.2828,200,1.1e+07,2.5e-01,D,106087.2598,114147.732,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).3d,2[3/2]*,1,3,3,,T1618n,L2634,NIST
1243.9321,1243.9321,200,4.9e+06,1.9e-01,D,104102.0990,112138.924,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).3d,2[3/2]*,2,3,5,,T1618n,L2634,NIST
1245.612,1245.6114,100,8.9e+06,1.2e-01,D,105617.2700,113643.260,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,1,5,3,,T1618n,L2634,NIST
1248.7663,1248.7663,200,1.1e+07,1.8e-01,D,105462.7596,113468.473,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,2,7,5,,T1618n,L2634,NIST
,1255.4324,,1.2e+05,2.0e-03,D,105462.7596,113425.964,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<3/2>).3d,2[5/2]*,2,7,5,,T1618n,,NIST
,1262.1619,,3.8e+05,2.7e-02,E,107054.2720,114975.019,3s2.3p5.(2P*<3/2>).4p,2[1/2],0,3s2.3p5.(2P*<1/2>).5s,2[1/2]*,1,1,3,,T1372,,NIST
1270.2281,1270.2280,150,7.1e+06,1.7e-01,D,107496.4166,115366.866,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3s2.3p5.(2P*<1/2>).3d,2[3/2]*,1,3,3,,T1618n,L2634,NIST
1273.3418,1273.3418,30,1.1e+06,2.7e-02,D,105617.2700,113468.473,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,2,5,5,,T1618n,L2634,NIST
1274.6232,1274.6232,12,2.0e+06,4.9e-02,D,107131.7086,114975.019,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3s2.3p5.(2P*<1/2>).5s,2[1/2]*,1,3,3,,T1618n,L2634,NIST
1280.2739,1280.2737,200,5.7e+06,1.4e-01,D,105617.2700,113425.964,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).3d,2[5/2]*,2,5,5,,T1618n,L2634,NIST
1293.3195,1293.3196,50,1.0e+07,8.4e-02,D,107131.7086,114861.635,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3s2.3p5.(2P*<1/2>).5s,2[1/2]*,0,3,1,,T1618n,L2634,NIST
1295.6659,1295.6658,500,7.4e+06,1.9e-01,D,104102.0990,111818.028,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).3d,2[1/2]*,1,3,3,,T1618n,L2634,NIST
1300.8264,1300.8264,200,8.9e+06,1.4e-01,D,107289.7001,114975.019,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,3s2.3p5.(2P*<1/2>).5s,2[1/2]*,1,5,3,,T1618n,L2634,NIST
1321.399,1321.3991,200,8.1e+06,7.1e-02,D,104102.0990,111667.766,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).3d,2[1/2]*,0,3,1,,T1618n,L2634,NIST
1323.090,1323.0897,100,4.6e+06,1.2e-01,D,106087.2598,113643.260,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,1,3,3,,T1372,L2634,NIST
1327.264,1327.2635,500,1.5e+07,5.5e-01,D,107289.7001,114821.939,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,3s2.3p5.(2P*<1/2>).3d,2[5/2]*,3,5,7,,T1618n,L2634,NIST
1331.3210,1331.3209,1000,1.3e+07,5.8e-01,D,107131.7086,114640.992,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3s2.3p5.(2P*<1/2>).3d,2[5/2]*,2,3,5,,T1618n,L2634,NIST
,1336.7827,,3.4e+06,9.1e-02,D,107496.4166,114975.019,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3s2.3p5.(2P*<1/2>).5s,2[1/2]*,1,3,3,,T1372,,NIST
,1340.6513,,6.5e+06,1.8e-01,D,112750.153,120207.175,3s2.3p5.(2P*<3/2>).3d,2[7/2]*,4,3s2.3p5.(2P*<3/2>).4f,2[9/2],4,9,9,,T1618n,,NIST
,1340.6587,,6.5e+06,2.1e-01,D,112750.153,120207.134,3s2.3p5.(2P*<3/2>).3d,2[7/2]*,4,3s2.3p5.(2P*<3/2>).4f,2[9/2],5,9,11,,T1618n,,NIST
1349.941,1349.9406,30,2.7e+06,4.4e-02,D,106237.5518,113643.260,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,1,5,3,,T1372,L2634,NIST
1350.4191,1350.4189,1000,1.1e+07,4.2e-01,D,105617.2700,113020.355,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).3d,2[7/2]*,3,5,7,,T1618n,L2634,NIST
,1354.4205,,4.6e+05,2.1e-02,E,106087.2598,113468.473,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,2,3,5,,T1372,,NIST
1357.3617,1357.3618,11,5.1e+06,4.7e-02,D,107496.4166,114861.635,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3s2.3p5.(2P*<1/2>).5s,2[1/2]*,0,3,1,,T1372,L2634,NIST
1359.9333,1359.9333,30,2.2e+06,6.1e-02,D,107289.7001,114640.992,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,3s2.3p5.(2P*<1/2>).3d,2[5/2]*,2,5,5,,T1618n,L2634,NIST
1362.2659,1362.2659,400,7.3e+06,3.4e-01,D,106087.2598,113425.964,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).3d,2[5/2]*,2,3,5,,T1618n,L2634,NIST
1367.8550,1367.8549,200,6.2e+06,2.9e-01,D,107496.4166,114805.135,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3s2.3p5.(2P*<1/2>).3d,2[3/2]*,2,3,5,,T1618n,L2634,NIST
1382.5715,1382.5716,10,3.3e+06,9.5e-02,D,106237.5518,113468.473,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,2,5,5,,T1372,L2634,NIST
1409.3640,1409.3640,200,4.3e+06,3.8e-01,D,107054.2720,114147.732,3s2.3p5.(2P*<3/2>).4p,2[1/2],0,3s2.3p5.(2P*<3/2>).3d,2[3/2]*,1,1,3,,T1618n,L2634,NIST
,1459.5734,,5.3e+06,1.7e-01,D,114805.135,121654.580,3s2.3p5.(2P*<1/2>).3d,2[3/2]*,2,3s2.3p5.(2P*<1/2>).4f,2[5/2],2,5,5,,T1618n,,NIST
,1459.6471,,5.3e+06,2.4e-01,D,114805.135,121654.234,3s2.3p5.(2P*<1/2>).3d,2[3/2]*,2,3s2.3p5.(2P*<1/2>).4f,2[5/2],3,5,7,,T1618n,,NIST
,1463.4414,,9.0e+06,3.7e-01,D,114821.939,121653.280,3s2.3p5.(2P*<1/2>).3d,2[5/2]*,3,3s2.3p5.(2P*<1/2>).4f,2[7/2],4,7,9,,T1618n,,NIST
,1463.4504,,9.0e+06,2.9e-01,D,114821.939,121653.238,3s2.3p5.(2P*<1/2>).3d,2[5/2]*,3,3s2.3p5.(2P*<1/2>).4f,2[7/2],3,7,7,,T1618n,,NIST
,1473.9139,,8.8e+04,4.0e-03,D,106237.5518,113020.355,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).3d,2[7/2]*,3,5,7,,T1618n,,NIST
,1478.5380,,2.1e+05,6.9e-03,D,113468.473,120230.063,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,2,3s2.3p5.(2P*<3/2>).4f,2[5/2],2,5,5,,T1618n,,NIST
,1478.6064,,2.1e+05,9.6e-03,D,113468.473,120229.750,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,2,3s2.3p5.(2P*<3/2>).4f,2[5/2],3,5,7,,T1618n,,NIST
,1487.6537,,6.0e+04,2.0e-03,D,113468.473,120188.631,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,2,3s2.3p5.(2P*<3/2>).4f,2[3/2],2,5,5,,T1618n,,NIST
,1487.7420,,6.0e+04,1.2e-03,D,113468.473,120188.232,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,2,3s2.3p5.(2P*<3/2>).4f,2[3/2],1,5,3,,T1618n,,NIST
1504.650,1504.6503,100,5.2e+06,5.3e-01,D,108722.6194,115366.866,3s2.3p5.(2P*<1/2>).4p,2[1/2],0,3s2.3p5.(2P*<1/2>).3d,2[3/2]*,1,1,3,,T1618n,L2634,NIST
1517.269,1517.2691,25,1.3e+06,1.3e-01,D,107054.2720,113643.260,3s2.3p5.(2P*<3/2>).4p,2[1/2],0,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,1,1,3,,T1618n,L2634,NIST
,1530.1881,,5.4e+06,2.4e-01,D,113716.555,120249.914,3s2.3p5.(2P*<3/2>).3d,2[5/2]*,3,3s2.3p5.(2P*<3/2>).4f,2[7/2],4,7,9,,T1618n,,NIST
,1530.1970,,5.4e+06,1.9e-01,D,113716.555,120249.876,3s2.3p5.(2P*<3/2>).3d,2[5/2]*,3,3s2.3p5.(2P*<3/2>).4f,2[7/2],3,7,7,,T1618n,,NIST
1532.934,1532.9345,10,1.2e+05,4.2e-03,E,105617.2700,112138.924,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).3d,2[3/2]*,2,5,5,,T1618n,L2634,NIST
,1535.3128,,4.5e+05,1.6e-02,E,107131.7086,113643.260,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,1,3,3,,T1372,,NIST
,1540.2640,,1.4e+06,6.4e-02,D,113716.555,120207.175,3s2.3p5.(2P*<3/2>).3d,2[5/2]*,3,3s2.3p5.(2P*<3/2>).4f,2[9/2],4,7,9,,T1618n,,NIST
,1555.5460,,9.8e+03,5.0e-04,D,107289.7001,113716.555,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).3d,2[5/2]*,3,5,7,,T1618n,,NIST
,1573.4909,,2.9e+04,6.5e-04,D,107289.7001,113643.260,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,1,5,3,,T1618n,,NIST
,1577.6614,,5.9e+04,3.7e-03,E,107131.7086,113468.473,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,2,3,5,,T1372,,NIST
,1581.6777,,8.7e+04,2.0e-03,E,112138.924,118459.5975,3s2.3p5.(2P*<3/2>).3d,2[3/2]*,2,3s2.3p5.(2P*<1/2>).5p,2[1/2],1,5,3,,T1618n,,NIST
,1589.9687,,7.7e+06,4.9e-01,D,115366.866,121654.580,3s2.3p5.(2P*<1/2>).3d,2[3/2]*,1,3s2.3p5.(2P*<1/2>).4f,2[5/2],2,3,5,,T1618n,,NIST
1598.949,1598.9491,30,1.9e+06,2.2e-01,D,108722.6194,114975.019,3s2.3p5.(2P*<1/2>).4p,2[1/2],0,3s2.3p5.(2P*<1/2>).5s,2[1/2]*,1,1,3,,T1618n,L2634,NIST
,1612.2656,,3.9e+04,9.1e-04,D,105617.2700,111818.028,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).3d,2[1/2]*,1,5,3,,T1618n,,NIST
,1618.0023,,1.2e+05,4.7e-03,D,107289.7001,113468.473,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,2,5,5,,T1618n,,NIST
,1626.4070,,3.0e+04,1.2e-03,D,107496.4166,113643.260,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,1,3,3,,T1618n,,NIST
,1643.6575,,5.9e+06,4.0e-01,D,114147.732,120230.063,3s2.3p5.(2P*<3/2>).3d,2[3/2]*,1,3s2.3p5.(2P*<3/2>).4f,2[5/2],2,3,5,,T1618n,,NIST
1651.986,1651.9867,30,2.6e+05,1.8e-02,D,106087.2598,112138.924,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).3d,2[3/2]*,2,3,5,,T1618n,L2634,NIST
,1654.9307,,1.6e+06,1.1e-01,D,114147.732,120188.631,3s2.3p5.(2P*<3/2>).3d,2[3/2]*,1,3s2.3p5.(2P*<3/2>).4f,2[3/2],2,3,5,,T1618n,,NIST
,1655.0400,,1.6e+06,6.6e-02,D,114147.732,120188.232,3s2.3p5.(2P*<3/2>).3d,2[3/2]*,1,3s2.3p5.(2P*<3/2>).4f,2[3/2],1,3,3,,T1618n,,NIST
,1674.0078,,3.1e+05,2.2e-02,D,107496.4166,113468.473,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,2,3,5,,T1618n,,NIST
1694.058,1694.0584,500,2.5e+06,1.1e-01,D,106237.5518,112138.924,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).3d,2[3/2]*,2,5,5,,T1618n,L2634,NIST
,1782.399,,8.4e+05,5.6e-02,E,114640.992,120249.876,3s2.3p5.(2P*<1/2>).3d,2[5/2]*,2,3s2.3p5.(2P*<3/2>).4f,2[7/2],3,5,7,,T1618n,,NIST
,2032.256,,1.6e+05,3.0e-02,D,108722.6194,113643.260,3s2.3p5.(2P*<1/2>).4p,2[1/2],0,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,1,1,3,,T1618n,,NIST
2062.186,2062.186,50,3.9e+05,2.5e-02,D,107289.7001,112138.924,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).3d,2[3/2]*,2,5,5,,T1618n,L2634,NIST
,2081.672,,7.6e+04,6.9e-03,D,112138.924,116942.7542,3s2.3p5.(2P*<3/2>).3d,2[3/2]*,2,3s2.3p5.(2P*<3/2>).5p,2[5/2],3,5,7,,T1618n,,NIST
,2133.871,,3.2e+04,2.2e-03,D,107131.7086,111818.028,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).3d,2[1/2]*,1,3,3,,T1618n,,NIST
,2154.008,,1.1e+05,1.3e-02,D,107496.4166,112138.924,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).3d,2[3/2]*,2,3,5,,T1618n,,NIST
,2204.558,,1.2e+05,2.9e-03,D,107131.7086,111667.766,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).3d,2[1/2]*,0,3,1,,T1618n,,NIST
,2208.321,,1.4e+05,6.1e-03,D,107289.7001,111818.028,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).3d,2[1/2]*,1,5,3,,T1618n,,NIST
2313.951,2313.952,20,1.7e+05,1.4e-02,D,107496.4166,111818.028,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).3d,2[1/2]*,1,3,3,,T1618n,L2634,NIST
,2385.154,,1.1e+06,7.3e-02,D,112750.153,116942.7542,3s2.3p5.(2P*<3/2>).3d,2[7/2]*,4,3s2.3p5.(2P*<3/2>).5p,2[5/2],3,9,7,,T1618n,,NIST
2397.306,2397.306,20,3.6e+05,1.0e-02,D,107496.4166,111667.766,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).3d,2[1/2]*,0,3,1,,T1618n,L2634,NIST
,89.431017331123,,2779998.94044467,0.001,,0.0,111818.028,3s2.3p6,1S,0,3s2.3p5.(2P*<3/2>).3d,2[1/2]*,1,1.0,3.0,,,,BSR
,84.2805093020609,,5321273.6249045,0.0017,,0.0,118651.395,3s2.3p6,1S,0,3s2.3p5.(2P*<3/2>).4d,2[1/2]*,1,1.0,3.0,,,,BSR
,83.5002137292346,,43050635.5176384,0.0135,,0.0,119760.1725,3s2.3p6,1S,0,3s2.3p5.(2P*<3/2>).6s,2[3/2]*,1,1.0,3.0,,,,BSR
,83.4391828900947,,159360775.097897,0.0499,,0.0,119847.77,3s2.3p6,1S,0,3s2.3p5.(2P*<3/2>).4d,2[3/2]*,1,1.0,3.0,,,,BSR
,82.6364875173231,,14000570.4096201,0.0043,,0.0,121011.9198,3s2.3p6,1S,0,3s2.3p5.(2P*<1/2>).4d,2[3/2]*,1,1.0,3.0,,,,BSR
,82.5345955002378,,109996488.030231,0.0337,,0.0,121161.3135,3s2.3p6,1S,0,3s2.3p5.(2P*<1/2>).6s,2[1/2]*,1,1.0,3.0,,,,BSR
,82.0123550677969,,8264230.36812785,0.0025,,0.0,121932.8477,3s2.3p6,1S,0,3s2.3p5.(2P*<3/2>).5d,2[1/2],1,1.0,3.0,,,,BSR
,81.6463949826266,,22680668.8703942,0.0068,,0.0,122479.382,3s2.3p6,1S,0,3s2.3p5.(2P*<3/2>).7s,2[3/2]*,1,1.0,3.0,,,,BSR
,81.6231967640125,,105792050.569485,0.0317,,0.0,122514.192,3s2.3p6,1S,0,3s2.3p5.(2P*<3/2>).5d,2[3/2]*,1,1.0,3.0,,,,BSR
,858.041761304383,,8643.18384420115,3.18E-05,,95399.8276,107054.272,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3s2.3p5.(2P*<3/2>).4p,2[1/2],0,3.0,1.0,,,,BSR
,395.825304924122,,178.806955157581,2.52E-07,,93143.76,118407.4303,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,2,3s2.3p5.(2P*<1/2>).5p,2[3/2],1,5.0,3.0,,,,BSR
,398.084113517156,,13763.8612917871,1.09E-05,,93750.5978,118870.917,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,3s2.3p5.(2P*<1/2>).5p,2[1/2],0,3.0,1.0,,,,BSR
,995.457429113725,,13462.5347979335,2E-04,,104102.099,114147.732,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).3d,2[3/2]*,1,3.0,3.0,,,,BSR
,1072.51660121634,,5845.13724596646,1.68E-04,,104102.099,113425.964,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).3d,2[5/2]*,2,3.0,5.0,,,,BSR
,948.866261380584,,7512.25242877971,1.69E-04,,104102.099,114640.992,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<1/2>).3d,2[5/2]*,2,3.0,5.0,,,,BSR
,934.314338473682,,189346.595941951,4.13E-03,,104102.099,114805.135,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<1/2>).3d,2[3/2]*,2,3.0,5.0,,,,BSR
,887.723643107754,,20314.1144782432,2.4E-04,,104102.099,115366.866,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<1/2>).3d,2[3/2]*,1,3.0,3.0,,,,BSR
,1497.86605015299,,98228.228370755,2.36E-03,,105462.7596,112138.924,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<3/2>).3d,2[3/2]*,2,7.0,5.0,,,,BSR
