,,Multiplet/Terms,,,,,,,,
,,lower,upper,gi,gk,Energy [cm^-1],fij(l),fij(v),,
4p,3d,4p-1P1,3d-3F2,3,5,6231.32,1.416E-04,1.895E-04,,
4p,3d,4p-1P1,3d-1D2,3,5,7431.85,2.34012,2.51,,
4p,3d,4p-1P1,3d-3D2,3,5,7559.21,0.01001,0.01004,,
4p,3d,4p-3P1,3d-3P2,3,5,5301.91,0.00867,0.01798,,
4p,3d,4p-3P1,3d-3F2,3,5,5880.73,8.886E-05,1.0138E-04,,
4p,3d,4p-3P1,3d-1D2,3,5,7081.27,0.00203,0.0022,,
4p,3d,4p-3P1,3d-3D2,3,5,7208.62,2.03287,2.29804,,
4p,3d,4p-3D2,3d-3P1,5,3,6935.52,0.05642,0.07,,
4p,3d,4p-3D2,3d-3D1,5,3,8526.72,0.08219,0.06704,,
4p,3d,4p-3D2,3d-1P1,5,3,10084.52,0.00115,6.7622E-04,,
4p,3d,4p-3P2,3d-3P1,5,3,6342.5,0.22333,0.32647,,
4p,3d,4p-3P2,3d-3D1,5,3,7933.7,0.00924,0.00868,,
4p,3d,4p-3P2,3d-1P1,5,3,9491.51,0.02464,0.01605,,
4p,3d,4p-1D2,3d-3P1,5,3,5266.91,0.03171,0.06733,,
4p,3d,4p-1D2,3d-3D1,5,3,6858.12,6.963E-04,8.513E-04,,
4p,3d,4p-1D2,3d-1P1,5,3,8415.92,0.0312,0.02587,,
4p,3d,4p-3D2,3d-3P2,5,5,7195.11,0.00821,0.00972,,
4p,3d,4p-3D2,3d-3F2,5,5,7773.93,0.8678,0.8678,,
4p,3d,4p-3D2,3d-1D2,5,5,8974.47,0.048,0.03551,,
4p,3d,4p-3D2,3d-3D2,5,5,9101.82,0.0205,0.01469,,
4p,3d,4p-3P2,3d-3P2,5,5,6602.09,0.8442,1.13787,,
4p,3d,4p-3P2,3d-3F2,5,5,7180.91,0.05608,0.06444,,
4p,3d,4p-3P2,3d-1D2,5,5,8381.45,3.524E-03,2.910E-03,,
4p,3d,4p-3P2,3d-3D2,5,5,8508.8,0.31702,0.25717,,
4p,3d,4p-1D2,3d-3P2,5,5,5526.51,0.17771,0.34209,,
4p,3d,4p-1D2,3d-3F2,5,5,6105.32,1.127E-03,1.868E-03,,
4p,3d,4p-1D2,3d-1D2,5,5,7305.86,0.27724,0.30529,,
4p,3d,4p-1D2,3d-3D2,5,5,7433.21,0.22465,0.23848,,
4p,3d,4p-3D2,3d-3F3,5,7,7419.84,3.32815,3.58343,,
4p,3d,4p-3D2,3d-1F3,5,7,7881.17,0.13714,0.12948,,
4p,3d,4p-3D2,3d-3D3,5,7,9069.41,8.195E-03,5.656E-03,,
4p,3d,4p-3P2,3d-3F3,5,7,6826.82,1.957E-03,2.686E-03,,
4p,3d,4p-3P2,3d-1F3,5,7,7288.15,2.85489,3.15458,,
4p,3d,4p-3P2,3d-3D3,5,7,8476.39,0.02611,0.02124,,
4p,3d,4p-1D2,3d-3F3,5,7,5751.23,8.149E-05,9.762E-05,,
4p,3d,4p-1D2,3d-1F3,5,7,6212.56,5.962E-07,9.716E-07,,
4p,3d,4p-1D2,3d-3D3,5,7,7400.8,3.67883,3.94317,,
4p,3d,4p-3D3,3d-3P2,7,5,7343.65,0.10948,0.11916,,
4p,3d,4p-3D3,3d-3F2,7,5,7922.47,0.05326,0.0498,,
4p,3d,4p-3D3,3d-1D2,7,5,9123.01,5.667E-03,3.997E-04,,
4p,3d,4p-3D3,3d-3D2,7,5,9250.36,0.019,0.01303,,
4p,3d,4p-3D3,3d-3F3,7,7,7568.38,0.45173,0.46299,,
4p,3d,4p-3D3,3d-1F3,7,7,8029.7,0.8127,0.73978,,
4p,3d,4p-3D3,3d-3D3,7,7,9217.94,0.08499,0.05871,,
4p,3d,4p-3D3,3d-3F4,7,9,7395.52,4.85257,5.20721,,
4p,5s,4p-3S1,5s-3P0,3,1,10025.2,0.03712,0.01818,,
4p,5s,4p-3D1,5s-3P0,3,1,8309.29,0.03712,0.01818,,
4p,5s,4p-1P1,5s-3P0,3,1,7245.3,0.31634,0.30049,,
4p,5s,4p-3P1,5s-3P0,3,1,6894.71,0.16569,0.17173,,
4p,5s,4p-3P0,5s-1P1,1,3,6115.99,0.13032,0.17242,,
4p,5s,4p-1S0,5s-1P1,1,3,4285.23,0.01965,0.05276,,
4p,5s,4p-3P0,5s-3P1,1,3,7483.86,1.48241,1.3289,,
4p,5s,4p-1S0,5s-3P1,1,3,5653.11,0.11918,0.18653,,
4p,5s,4p-3S1,5s-1P1,3,3,8789.66,0.11482,0.07083,,
4p,5s,4p-3D1,5s-1P1,3,3,7073.75,0.42068,0.41755,,
4p,5s,4p-1P1,5s-1P1,3,3,6009.76,0.03036,0.0416,,
4p,5s,4p-3P1,5s-1P1,3,3,5659.17,1.832E-03,2.760E-03,,
4p,5s,4p-3S1,5s-3P1,3,3,10157.53,0.0544,0.02623,,
4p,5s,4p-3D1,5s-3P1,3,3,8441.63,7.213E-03,5.144E-03,,
4p,5s,4p-1P1,5s-3P1,3,3,7377.64,0.19828,0.1829,,
