,,Multiplet/Terms,,,,,,,,
,,lower,upper,gi,gk,Energy [cm^-1],fij(l),fij(v),Aij(l),Aij(v)
3d,4f,3d-3P0,4f-3D1,1,3,6728.13,0.771305,0.977509,7.76E+06,9.84E+06
3d,4f,3d-3P1,4f-3D1,3,3,6599.2,0.701916,0.855671,6.80E+06,8.29E+06
3d,4f,3d-3D1,4f-3D1,3,3,5008,0.103938,0.073025,5.80E+05,4.05E+05
3d,4f,3d-1P1,4f-3D1,3,3,3450.21,0.010639,0.00354,2.82E+04,9.37E+03
3d,4f,3d-3P1,4f-3D2,3,5,6599.68,1.10187,1.34283,6.40E+06,7.80E+06
3d,4f,3d-3P1,4f-1D2,3,5,6645.24,0.455585,0.563487,2.68E+06,3.32E+06
3d,4f,3d-3P1,4f-3F2,3,5,8084.82,0.078629,0.143886,6.86E+05,1.25E+06
3d,4f,3d-3D1,4f-3D2,3,5,5008.48,0.758486,0.53208,2.54E+06,1.78E+06
3d,4f,3d-3D1,4f-1D2,3,5,5054.04,1.66463,1.19001,5.67E+06,4.06E+06
3d,4f,3d-3D1,4f-3F2,3,5,6493.62,0.436427,0.51521,2.46E+06,2.90E+06
3d,4f,3d-1P1,4f-3D2,3,5,3450.69,0.687459,0.228966,1.09E+06,3.64E+05
3d,4f,3d-1P1,4f-1D2,3,5,3496.25,0.303941,0.103952,4.96E+05,1.70E+06
3d,4f,3d-1P1,4f-3F2,3,5,4935.83,2.45065,1.67152,7.96E+06,5.43E+06
3d,4f,3d-3P2,4f-3D1,5,3,6339.6,0.071725,0.080663,6.41E+05,7.21E+05
3d,4f,3d-3F2,4f-3D1,5,3,5760.79,0.035582,0.033071,2.63E+05,2.44E+05
3d,4f,3d-1D2,4f-3D1,5,3,4560.25,4.16E-03,2.42E-03,1.92E+04,1.12E+04
3d,4f,3d-3D2,4f-3D1,5,3,4432.9,0.014134,7.77E-03,6.18E+04,3.40E+04
3d,4f,3d-3P2,4f-3D2,5,5,6340.09,0.653991,0.73543,3.51E+06,3.94E+06
3d,4f,3d-3P2,4f-1D2,5,5,6385.65,0.187009,0.213455,1.02E+06,1.16E+06
3d,4f,3d-3P2,4f-3F2,5,5,7825.22,0.023155,0.039667,1.89E+05,3.24E+05
3d,4f,3d-3F2,4f-3D2,5,5,5761.27,2.88E-03,2.66E-03,1.28E+04,1.18E+04
3d,4f,3d-3F2,4f-1D2,5,5,5806.83,0.661336,0.624343,2.97E+06,2.81E+06
3d,4f,3d-3F2,4f-3F2,5,5,7246.41,0.018419,0.027082,1.29E+05,1.90E+05
3d,4f,3d-1D2,4f-3D2,5,5,4560.73,2.71E-04,1.57E-04,7.53E+02,4.36E+02
3d,4f,3d-1D2,4f-1D2,5,5,4606.29,0.084836,0.050397,2.40E+05,1.43E+05
3d,4f,3d-1D2,4f-3F2,5,5,6045.87,0.167079,0.171011,8.15E+05,8.34E+05
3d,4f,3d-3D2,4f-3D2,5,5,4433.38,0.128723,0.070779,3.38E+05,1.86E+05
3d,4f,3d-3D2,4f-1D2,5,5,4478.94,0.029722,0.016691,7.95E+04,4.47E+04
3d,4f,3d-3D2,4f-3F2,5,5,5918.52,0.263617,0.258351,1.23E+06,1.21E+06
3d,4f,3d-3P2,4f-3D3,5,7,6385.29,2.72965,3.11343,1.06E+07,1.21E+07
3d,4f,3d-3P2,4f-1F3,5,7,6407.87,1.33E-05,1.31E-05,52.1344,51.3745
3d,4f,3d-3P2,4f-3G3,5,7,7824.14,6.22E-07,1.23E-06,3.62786,7.15164
3d,4f,3d-3P2,4f-3F3,5,7,7824.84,0.324077,0.555055,1.89E+06,3.24E+06
3d,4f,3d-3F2,4f-3D3,5,7,5806.47,0.045623,0.042947,1.47E+05,1.38E+05
3d,4f,3d-3F2,4f-1F3,5,7,5829.06,3.3706,3.2059,1.09E+07,1.04E+07
3d,4f,3d-3F2,4f-3G3,5,7,7245.32,0.252278,0.370757,1.26E+06,1.85E+06
3d,4f,3d-3F2,4f-3F3,5,7,7246.03,1.49E-03,2.19E-03,7.75E+03,1.10E-02
3d,4f,3d-1D2,4f-3D3,5,7,4605.93,5.45E-03,3.23E-03,1.10E+04,6.52E+03
3d,4f,3d-1D2,4f-1F3,5,7,4628.52,0.331561,0.198834,6.77E+05,4.06E+05
3d,4f,3d-1D2,4f-3G3,5,7,6044.78,3.78497,3.87182,1.32E+07,1.35E+07
3d,4f,3d-1D2,4f-3F3,5,7,6045.49,0.014343,0.014636,5.00E+04,5.10E+04
3d,4f,3d-3D2,4f-3D3,5,7,4478.58,0.436511,0.244935,8.34E+05,4.68E+05
3d,4f,3d-3D2,4f-1F3,5,7,4501.17,3.55E-06,1.76E-06,6.85536,3.39364
3d,4f,3d-3D2,4f-3G3,5,7,5917.43,1.16E-04,1.17E-04,3.88E+02,3.92E+02
3d,4f,3d-3D2,4f-3F3,5,7,5918.14,3.659779,3.58563,1.22E+07,1.20E+07
3d,4f,3d-3F3,4f-3D2,7,5,6115.36,3.73E-03,3.91E-03,1.86E+04,1.95E+04
3d,4f,3d-3F3,4f-1D2,7,5,6160.92,0.046675,0.049601,2.36E+05,2.51E+05
3d,4f,3d-3F3,4f-3F2,7,5,7600.5,4.16E-04,6.72E-04,3.21E+03,5.18E+03
3d,4f,3d-1F3,4f-3D2,7,5,5654.04,0.055269,0.049423,2.36E+05,2.11E+05
3d,4f,3d-1F3,4f-1D2,7,5,5699.6,0.027659,0.025134,1.20E+05,1.09E+05
3d,4f,3d-1F3,4f-3F2,7,5,7139.17,5.18E-04,8.37E-04,3.99E+03,5.69E+03
3d,4f,3d-3D3,4f-3D2,7,5,4465.79,3.69E-03,2.06E-03,9.81E+03,5.47E+03
3d,4f,3d-3D3,4f-1D2,7,5,4511.35,5.82E-03,3.32E-03,1.58E+04,9.00E+03
3d,4f,3d-3D3,4f-3F2,7,5,5950.93,0.012658,0.012539,5.98E+04,5.92E+04
3d,4f,3d-3F3,4f-3D3,7,7,6160.56,0.043016,0.045715,1.56E+05,1.65E+05
3d,4f,3d-3F3,4f-1F3,7,7,6183.15,0.692961,0.741714,2.52E+06,2.70E+06
3d,4f,3d-3F3,4f-3G3,7,7,7599.41,1.84E-03,2.98E-03,1.01E+04,1.64E+04
3d,4f,3d-3F3,4f-3F3,7,7,7600.12,5.10E-03,8.24E-03,2.81E+04,4.54E+04
3d,4f,3d-1F3,4f-3D3,7,7,5699.24,0.956972,0.869486,2.96E+06,2.69E+06
3d,4f,3d-1F3,4f-1F3,7,7,5721.82,0.037089,0.033959,1.16E+05,1.06E+05
3d,4f,3d-1F3,4f-3G3,7,7,7138.09,5.42E-03,7.73E-03,2.63E+04,3.75E+04
3d,4f,3d-1F3,4f-3F3,7,7,7138.79,0.013006,0.018541,6.32E+04,9.00E+04
3d,4f,3d-3D3,4f-3D3,7,7,4511,0.068713,0.039118,1.33E+05,7.59E+04
3d,4f,3d-3D3,4f-1F3,7,7,4533.58,0.029793,0.017141,5.84E+04,3.36E+04
3d,4f,3d-3D3,4f-3G3,7,7,5949.84,0.199338,0.197394,6.72E+05,6.66E+05
3d,4f,3d-3D3,4f-3F3,7,7,5950.55,0.254916,0.252487,8.60E+05,8.52E+05
3d,4f,3d-3F3,4f-1G4,7,9,6136.91,4.85558,5.11967,1.36E+07,1.43E+07
3d,4f,3d-3F3,4f-3F4,7,9,6183.19,0.157217,0.168311,4.45E+05,4.77E+05
3d,4f,3d-3F3,4f-3G4,7,9,7599.52,0.084147,0.135934,3.60E+05,5.82E+05
3d,4f,3d-1F3,4f-1G4,7,9,5675.59,0.418144,0.376995,9.99E+05,9.00E+05
3d,4f,3d-1F3,4f-3F4,7,9,5721.86,4.67205,4.27869,1.13E+07,1.04E+07
3d,4f,3d-1F3,4f-3G4,7,9,7138.19,0.131407,0.187294,4.96E+05,7.07E+05
3d,4f,3d-3D3,4f-1G4,7,9,4487.35,0.056298,0.031754,8.40E+04,4.74E+04
3d,4f,3d-3D3,4f-3F4,7,9,4533.62,0.226176,0.130056,3.45E+05,1.98E+05
3d,4f,3d-3D3,4f-3G4,7,9,5949.95,5.34017,5.28822,1.40E+07,1.39E+06
3d,4f,3d-3F4,4f-3D3,9,7,6333.42,0.037586,0.042173,1.44E+05,1.61E+05
3d,4f,3d-3F4,4f-1F3,9,7,6356.01,0.020812,0.023519,8.01E+04,9.05E+04
3d,4f,3d-3F4,4f-3G3,9,7,7772.27,6.15E-06,1.04E-05,35.3963,59.8117
3d,4f,3d-3F4,4f-3F3,9,7,7772.98,2.58E-05,4.37E-05,1.49E+02,2.51E+02
3d,4f,3d-3F4,4f-1G4,9,9,6309.77,0.148049,0.16488,4.37E+05,4.87E+05
3d,4f,3d-3F4,4f-3F4,9,9,6356.05,0.727333,0.821931,2.18E+06,2.46E+06
3d,4f,3d-3F4,4f-3G4,9,9,7772.38,2.16E-04,3.65E-04,9.67E+02,1.63E+03
3d,4f,3d-3F4,4f-3G5,9,11,6309.6,6.46074,7.19471,1.56E+07,1.74E+07
4d,4f,4d-3P0,4f-3D1,1,3,787.18,0.099786,0.382551,1.37E+04,5.27E+04
4d,4f,4d-3P1,4f-3D1,3,3,696.47,0.10562,0.316579,1.14E+04,3.41E+04
4d,4f,4d-3D1,4f-3D1,3,3,275.34,0.01712,8.09E-03,2.89E+02,1.36E+02
4d,4f,4d-1P1,4f-3D1,3,3,1715.52,1.96E-04,3.51E-03,1.28E+02,2.30E+03
4d,4f,4d-3P1,4f-3D2,3,5,696.96,0.149901,0.448182,9.71E+03,4.48E+03
4d,4f,4d-3P1,4f-1D2,3,5,742.52,0.072519,0.248178,5.33E+03,1.83E+04
4d,4f,4d-3P1,4f-3F2,3,5,2182.1,1.94E-03,0.057069,1.23E+03,3.63E+04
4d,4f,4d-3D1,4f-3D2,3,5,274.85,0.281782,0.13047,4.73E+03,2.19E+03
4d,4f,4d-3D1,4f-1D2,3,5,229.29,0.543089,0.17606,6.35E+03,2.06E+03
4d,4f,4d-3D1,4f-3F2,3,5,1210.28,0.024864,0.225288,4.86E+03,4.40E+04
4d,4f,4d-1P1,4f-3D2,3,5,1715.03,0.013452,0.24287,8.80E+03,1.59E+05
4d,4f,4d-1P1,4f-1D2,3,5,1669.48,6.71E-03,0.115047,4.16E+03,7.13E+04
4d,4f,4d-1P1,4f-3F2,3,5,229.9,0.875554,0.286312,1.03E+04,3.36E+03
4d,4f,4d-3P2,4f-3D1,5,3,536.64,0.014026,0.024876,8.98E+02,1.59E+03
4d,4f,4d-1D2,4f-3D1,5,3,262.22,0.012661,5.40E-03,1.94E+02,82.5924
