,,lower,upper,gi,gk,Energy [cm^-1],fij(l),fij(v),Aij(l),Aij(v),lower,upper,Upper -> lower,Reversed (R) or ok (O) ,Wavelength (NIST energies),Wavelength (MCDHF energies)
4s,4p,4s-3P2,4p-3S1,5,3,11234.47,0.83165,0.70641,2.33E+07,1.98E+07,Ar(4s[3/2]2),Ar(4p[1/2]1),Ar(4p[1/2]1)->Ar(4s[3/2]2),O,912.55,890.12
4s,4p,4s-3P2,4p-3D1,5,3,12950.38,0.18921,0.12007,7.06E+06,4.48E+06,Ar(4s[3/2]2),Ar(4p[3/2]1),Ar(4p[3/2]1)->Ar(4s[3/2]2),O,772.59,772.18
4s,4p,4s-3P2,4p-1P1,5,3,14014.37,0.02442,0.01322,1.07E+06,5.77E+05,Ar(4s[3/2]2),Ar(4p'[3/2]1),Ar(4p'[3/2]1)->Ar(4s[3/2]2),O,714.9,713.55
4s,4p,4s-3P2,4p-3P1,5,3,14364.96,0.17648,0.09169,8.10E+06,4.21E+06,Ar(4s[3/2]2),Ar(4p'[1/2]1),Ar(4p'[1/2]1)->Ar(4s[3/2]2),O,696.74,696.14
4s,4p,4s-3P2,4p-3D2,5,5,12471.76,0.52331,0.35889,1.09E+07,7.45E+06,Ar(4s[3/2]2),Ar(4p[5/2]2),Ar(4p[5/2]2)->Ar(4s[3/2]2),O,801.7,801.81
4s,4p,4s-3P2,4p-3P2,5,5,13064.78,1.51366,0.95401,3.45E+07,2.17E+07,Ar(4s[3/2]2),Ar(4p[3/2]2),Ar(4p[3/2]2)->Ar(4s[3/2]2),O,763.72,765.42
4s,4p,4s-3P2,4p-1D2,5,5,14140.36,0.18734,0.10057,5.00E+06,2.68E+06,Ar(4s[3/2]2),Ar(4p'[3/2]2),Ar(4p'[3/2]2)->Ar(4s[3/2]2),O,706.92,707.2
4s,4p,4s-3P2,4p-3D3,5,7,12323.22,0.295039,0.209289,4.27E+06,3.03E+06,Ar(4s[3/2]2),Ar(4p[5/2]3),Ar(4p[5/2]3)->Ar(4s[3/2]2),O,811.75,811.48
4p,3d,4p-3P0,3d-3P1,1,3,5499.13,0.06973,0.13581,4.69E+05,9.13E+05,Ar(4p[1/2]0),Ar(3d[1/2]1),Ar(3d[1/2]1)->Ar(4p[1/2]0),O,2099.18,1818.47
4p,3d,4p-3P0,3d-3D1,1,3,7090.34,0.76498,0.89529,8.55E+06,1.00E+07,Ar(4p[1/2]0),Ar(3d[3/2]1),Ar(3d[3/2]1)->Ar(4p[1/2]0),O,1409.75,1410.37
