,,lower,upper,gi,gk,Energy [cm^-1],fij(l),fij(v),Aij(l),Aij(v),lower,upper,Upper -> lower,Reversed (R) or ok (O) ,Wavelength (NIST energies),Wavelength (MCDHF energies)
4p,3d,4p-3D3,3d-1F3,7,7,8029.7,0.8127,0.73978,4.99E+06,4.55E+06,Ar(4p[5/2]3),Ar(3d[5/2]3),Ar(3d[5/2]3)->Ar(4p[5/2]3),O,1211.56,1245.37
4p,3d,4p-3D3,3d-3D3,7,7,9217.94,0.08499,0.05871,6.88E+05,4.75E+05,Ar(4p[5/2]3),Ar(3d'[5/2]3),Ar(3d'[5/2]3)->Ar(4p[5/2]3),O,1068.47,1084.84
4p,3d,4p-3D3,3d-3F4,7,9,7395.52,4.85257,5.20721,1.97E+07,2.11E+07,Ar(4p[5/2]3),Ar(3d[7/2]4),Ar(3d[7/2]4)->Ar(4p[5/2]3),O,1372.23,1352.17
4p,5s,4p-3S1,5s-3P0,3,1,10025.2,0.03712,0.01818,2.49E+06,1.22E+06,Ar(4p[1/2]1),Ar(5s'[1/2]0),Ar(5s'[1/2]0)->Ar(4p[1/2]1),O,929.41,997.49
4p,5s,4p-3D1,5s-3P0,3,1,8309.29,0.03712,0.01818,2.29E+06,1.65E+06,Ar(4p[3/2]1),Ar(5s'[1/2]0),Ar(5s'[1/2]0)->Ar(4p[3/2]1),O,1139.68,1203.47
4p,5s,4p-1P1,5s-3P0,3,1,7245.3,0.31634,0.30049,1.11E+06,1.05E+06,Ar(4p'[3/2]1),Ar(5s'[1/2]0),Ar(5s'[1/2]0)->Ar(4p'[3/2]1),O,1293.67,1380.2
4p,5s,4p-3P1,5s-3P0,3,1,6894.71,0.16569,0.17173,5.25E+06,5.45E+06,Ar(4p'[1/2]1),Ar(5s'[1/2]0),Ar(5s'[1/2]0)->Ar(4p'[1/2]1),O,1357.73,1450.39
4p,5s,4p-3P0,5s-1P1,1,3,6115.99,0.13032,0.17242,1.08E+06,1.43E+06,Ar(4p[1/2]0),Ar(5s'[1/2]1),Ar(5s'[1/2]1)->Ar(4p[1/2]0),O,1262.51,1635.06
4p,5s,4p-1S0,5s-1P1,1,3,4285.23,0.01965,0.05276,8.24E+04,2.15E+05,Ar(4p'[1/2]0),Ar(5s'[1/2]1),Ar(5s'[1/2]1)->Ar(4p'[1/2]0),O,1599.39,2333.6
4p,5s,4p-3P0,5s-3P1,1,3,7483.86,1.48241,1.3289,4.20E+05,3.76E+05,Ar(4p[1/2]0),Ar(5s[3/2]1),Ar(5s[3/2]1)->Ar(4p[1/2]0),O,1517.68,1336.21
4p,5s,4p-1S0,5s-3P1,1,3,5653.11,0.11918,0.18653,8.47E+05,1.33E+06,Ar(4p'[1/2]0),Ar(5s[3/2]1),Ar(5s[3/2]1)->Ar(4p'[1/2]0),O,2032.26,1768.94
4p,5s,4p-3S1,5s-1P1,3,3,8789.66,0.11482,0.07083,1.92E+06,1.22E+06,Ar(4p[1/2]1),Ar(5s'[1/2]1),Ar(5s'[1/2]1)->Ar(4p[1/2]1),O,919.72,1137.7
4p,5s,4p-3D1,5s-1P1,3,3,7073.75,0.42068,0.41755,4.68E+06,4.65E+06,Ar(4p[3/2]1),Ar(5s'[1/2]1),Ar(5s'[1/2]1)->Ar(4p[3/2]1),O,1125.14,1413.68
4p,5s,4p-1P1,5s-1P1,3,3,6009.76,0.03036,0.0416,2.44E+05,3.34E+05,Ar(4p'[3/2]1),Ar(5s'[1/2]1),Ar(5s'[1/2]1)->Ar(4p'[3/2]1),O,1274.97,1663.96
4p,5s,4p-3P1,5s-1P1,3,3,5659.17,1.832E-03,2.760E-03,1.31E+04,1.97E+04,Ar(4p'[1/2]1),Ar(5s'[1/2]1),Ar(5s'[1/2]1)->Ar(4p'[1/2]1),O,1337.15,1767.04
4p,5s,4p-3S1,5s-3P1,3,3,10157.53,0.0544,0.02623,1.25E+06,6.02E+05,Ar(4p[1/2]1),Ar(5s[3/2]1),Ar(5s[3/2]1)->Ar(4p[1/2]1),O,1048.09,984.49
4p,5s,4p-3D1,5s-3P1,3,3,8441.63,7.213E-03,5.144E-03,1.14E+05,8.15E+04,Ar(4p[3/2]1),Ar(5s[3/2]1),Ar(5s[3/2]1)->Ar(4p[3/2]1),O,1323.45,1184.61
4p,5s,4p-1P1,5s-3P1,3,3,7377.64,0.19828,0.1829,2.40E+06,2.21E+06,Ar(4p'[3/2]1),Ar(5s[3/2]1),Ar(5s[3/2]1)->Ar(4p'[3/2]1),O,1535.73,1355.45
4p,5s,4p-3P1,5s-3P1,3,3,7027.05,0.30905,0.31058,3.39E+06,3.41E+06,Ar(4p'[1/2]1),Ar(5s[3/2]1),Ar(5s[3/2]1)->Ar(4p'[1/2]1),O,1626.85,1423.07
4p,5s,4p-3D2,5s-1P1,5,3,7552.37,0.72988,0.6388,9.26E+06,8.10E+06,Ar(4p[5/2]2),Ar(5s'[1/2]1),Ar(5s'[1/2]1)->Ar(4p[5/2]2),O,1068.63,1324.09
4p,5s,4p-3P2,5s-1P1,5,3,6959.35,0.21048,0.21406,2.27E+06,2.31E+06,Ar(4p[3/2]2),Ar(5s'[1/2]1),Ar(5s'[1/2]1)->Ar(4p[3/2]2),O,1144.5,1436.92
4p,5s,4p-1D2,5s-1P1,5,3,5883.76,0.01072,0.0151,8.26E+04,1.16E+05,Ar(4p'[3/2]2),Ar(5s'[1/2]1),Ar(5s'[1/2]1)->Ar(4p'[3/2]2),O,1301.18,1699.59
4p,5s,4p-3D2,5s-3P1,5,3,8920.25,1.647E-03,9.97E-04,2.91E+04,1.76E+04,Ar(4p[5/2]2),Ar(5s[3/2]1),Ar(5s[3/2]1)->Ar(4p[5/2]2),O,1245.95,1121.04
4p,5s,4p-3P2,5s-3P1,5,3,8327.23,0.09705,0.06915,1.50E+06,1.07E+06,Ar(4p[3/2]2),Ar(5s[3/2]1),Ar(5s[3/2]1)->Ar(4p[3/2]2),O,1350.31,1200.88
4p,5s,4p-1D2,5s-3P1,5,3,7251.64,0.8531,0.80236,9.97E+06,9.38E+06,Ar(4p'[3/2]2),Ar(5s[3/2]1),Ar(5s[3/2]1)->Ar(4p'[3/2]2),O,1573.92,1379.0
4p,5s,4p-3S1,5s-3P2,3,5,8580.38,0.47678,0.32288,4.68E+06,3.17E+06,Ar(4p[1/2]1),Ar(5s[3/2]2),Ar(5s[3/2]2)->Ar(4p[1/2]1),O,1067.65,1165.45
4p,5s,4p-3D1,5s-3P2,3,5,6864.47,0.07429,0.07959,4.67E+05,5.00E+05,Ar(4p[3/2]1),Ar(5s[3/2]2),Ar(5s[3/2]2)->Ar(4p[3/2]1),O,1354.79,1456.78
4p,5s,4p-1P1,5s-3P2,3,5,5800.48,7.478E-03,0.01123,3.36E+04,5.04E+04,Ar(4p'[3/2]1),Ar(5s[3/2]2),Ar(5s[3/2]2)->Ar(4p'[3/2]1),O,1578.09,1724.0
4p,5s,4p-3P1,5s-3P2,3,5,5449.89,0.05026,0.08436,1.99E+05,3.34E+05,Ar(4p'[1/2]1),Ar(5s[3/2]2),Ar(5s[3/2]2)->Ar(4p'[1/2]1),O,1674.47,1834.9
4p,5s,4p-3D2,5s-3P2,5,5,7343.09,0.22919,0.21375,1.65E+06,1.54E+06,Ar(4p[5/2]2),Ar(5s[3/2]2),Ar(5s[3/2]2)->Ar(4p[5/2]2),O,1273.69,1361.82
4p,5s,4p-3P2,5s-3P2,5,5,6750.07,0.59075,0.6426,3.59E+06,3.91E+06,Ar(4p[3/2]2),Ar(5s[3/2]2),Ar(5s[3/2]2)->Ar(4p[3/2]2),O,1382.95,1481.47
4p,5s,4p-1D2,5s-3P2,5,5,5674.48,0.05656,0.08739,2.43E+05,3.75E+05,Ar(4p'[3/2]2),Ar(5s[3/2]2),Ar(5s[3/2]2)->Ar(4p'[3/2]2),O,1618.44,1762.28
4p,5s,4p-3D3,5s-3P2,7,5,7491.63,0.135817,0.119662,1.02E+06,8.96E+05,Ar(4p[5/2]3),Ar(5s[3/2]2),Ar(5s[3/2]2)->Ar(4p[5/2]3),O,1249.11,1334.82
g,5s,g-1S0,5s-1P1,1,3,113186.32,0.02956,0.027065,8.41E+07,7.70E+07,Ar,Ar(5s'[1/2]1),Ar(5s'[1/2]1)->Ar,O,86.98,88.35
g,5s,g-1S0,5s-3P1,1,3,114554.2,0.02356,0.021615,5.71E+07,5.52E+07,Ar,Ar(5s[3/2]1),Ar(5s[3/2]1)->Ar,O,87.99,87.29
g,4d,g-1S0,4d-3P1,1,3,118472.16,1.786E-03,1.575E-03,5.58E+06,4.92E+06,Ar,Ar(4d[1/2]1),Ar(4d[1/2]1)->Ar,O,84.28,84.41
g,4d,g-1S0,4d-3D1,1,3,119443.99,0.07579,0.06665,2.40E+08,2.11E+08,Ar,Ar(4d[3/2]1),Ar(4d[3/2]1)->Ar,O,83.44,83.72
g,4d,g-1S0,4d-1P1,1,3,120884.2,0.17226,0.15144,5.60E+08,4.92E+08,Ar,Ar(4d'[3/2]1),Ar(4d'[3/2]1)->Ar,O,82.64,82.72
5s,5p,5s-3P0,5p-3S1,1,3,1535.08,8.278E-03,0.03609,4.34E+03,1.89E+04,Ar(5s'[1/2]0),Ar(5p[1/2]1),Ar(5p[1/2]1)->Ar(5s'[1/2]0),O,5560.63,6501.61
5s,5p,5s-3P0,5p-1P1,1,3,2002.92,3.966E-03,0.01007,3.54E+03,8.89E+03,Ar(5s'[1/2]0),Ar(5p'[3/2]1),Ar(5p'[3/2]1)->Ar(5s'[1/2]0),O,2820.24,4992.74
5s,5p,5s-3P0,5p-3D1,1,3,3274.71,0.93772,0.89066,2.24E+06,2.12E+06,Ar(5s'[1/2]0),Ar(5p[3/2]1),Ar(5p[3/2]1)->Ar(5s'[1/2]0),O,4367.4,3053.71
5s,5p,5s-3P0,5p-3P1,1,3,3338.7,0.61077,0.56265,1.51E+06,1.39E+06,Ar(5s'[1/2]0),Ar(5p'[1/2]1),Ar(5p'[1/2]1)->Ar(5s'[1/2]0),O,2779.35,2995.18
5s,5p,5s-1P1,5p-3P0,3,1,3665.04,0.57374,0.43759,5.14E+06,3.92E+06,Ar(5s'[1/2]1),Ar(5p[1/2]0),Ar(5p[1/2]0)->Ar(5s'[1/2]1),O,3864.08,2728.48
5s,5p,5s-1P1,5p-1S0,3,1,5026.31,0.01114,4.557E-03,1.88E+05,7.68E+04,Ar(5s'[1/2]1),Ar(5p'[1/2]0),Ar(5p'[1/2]0)->Ar(5s'[1/2]1),O,2566.8,1989.53
5s,5p,5s-3P1,5p-3P0,3,1,2297.16,5.130E-03,9.798E-03,1.81E+04,3.45E+04,Ar(5s[3/2]1),Ar(5p[1/2]0),Ar(5p[1/2]0)->Ar(5s[3/2]1),O,2551.22,4353.2
5s,5p,5s-3P1,5p-1S0,3,1,3658.43,0.57404,0.43591,5.12E+06,3.89E+06,Ar(5s[3/2]1),Ar(5p'[1/2]0),Ar(5p'[1/2]0)->Ar(5s[3/2]1),O,1912.9,2733.41
5s,5p,5s-1P1,5p-3S1,3,3,2770.62,0.21397,0.28721,3.65E+05,4.90E+05,Ar(5s'[1/2]1),Ar(5p[1/2]1),Ar(5p[1/2]1)->Ar(5s'[1/2]1),O,5934.81,3605.38
5s,5p,5s-1P1,5p-1P1,3,3,3238.46,1.2923,1.25914,3.01E+06,2.94E+06,Ar(5s'[1/2]1),Ar(5p'[3/2]1),Ar(5p'[3/2]1)->Ar(5s'[1/2]1),O,2913.4,3087.89
5s,5p,5s-1P1,5p-3D1,3,3,4510.26,4.716E-05,2.692E-05,2.13E+02,1.22E+02,Ar(5s'[1/2]1),Ar(5p[3/2]1),Ar(5p[3/2]1)->Ar(5s'[1/2]1),O,4594.94,2217.17
5s,5p,5s-1P1,5p-3P1,3,3,4574.25,8.730E-04,4.138E-04,4.41E+03,1.93E+03,Ar(5s'[1/2]1),Ar(5p'[1/2]1),Ar(5p'[1/2]1)->Ar(5s'[1/2]1),O,2869.79,2186.15
5s,5p,5s-3P1,5p-3S1,3,3,1402.75,7.097E-03,0.07097,1.05E+03,1.61E+04,Ar(5s[3/2]1),Ar(5p[1/2]1),Ar(5p[1/2]1)->Ar(5s[3/2]1),O,3314.84,7113.64
5s,5p,5s-3P1,5p-1P1,3,3,1870.58,3.069E-03,9.026E-03,2.39E+03,7.02E+03,Ar(5s[3/2]1),Ar(5p'[3/2]1),Ar(5p'[3/2]1)->Ar(5s[3/2]1),O,2099.0,5345.94
5s,5p,5s-3P1,5p-3D1,3,3,3142.38,0.59948,0.61565,1.32E+06,1.35E+06,Ar(5s[3/2]1),Ar(5p[3/2]1),Ar(5p[3/2]1)->Ar(5s[3/2]1),O,2850.57,3182.3
5s,5p,5s-3P1,5p-3P1,3,3,3206.37,0.89641,0.89144,2.05E+06,2.04E+06,Ar(5s[3/2]1),Ar(5p'[1/2]1),Ar(5p'[1/2]1)->Ar(5s[3/2]1),O,2076.27,3118.79
5s,5p,5s-1P1,5p-3D2,3,5,3079.08,1.85322,1.98996,2.34E+06,2.52E+06,Ar(5s'[1/2]1),Ar(5p[5/2]2),Ar(5p[5/2]2)->Ar(5s'[1/2]1),O,4939.96,3247.72
5s,5p,5s-1P1,5p-3P2,3,5,3261.18,0.60153,0.58148,8.53E+05,8.25E+05,Ar(5s'[1/2]1),Ar(5p[3/2]2),Ar(5p[3/2]2)->Ar(5s'[1/2]1),O,4527.81,3066.37
5s,5p,5s-1P1,5p-1D2,3,5,4564.16,0.03846,0.01898,1.07E+05,5.28E+04,Ar(5s'[1/2]1),Ar(5p'[3/2]2),Ar(5p'[3/2]2)->Ar(5s'[1/2]1),O,2862.02,2190.98
5s,5p,5s-3P1,5p-3D2,3,5,1711.2,4.107E-03,0.01419,1.60E+03,5.55E+03,Ar(5s[3/2]1),Ar(5p[5/2]2),Ar(5p[5/2]2)->Ar(5s[3/2]1),O,2979.68,5843.85
5s,5p,5s-3P1,5p-3P2,3,5,1893.31,0.0192,0.05498,9.12E+03,2.63E+04,Ar(5s[3/2]1),Ar(5p[3/2]2),Ar(5p[3/2]2)->Ar(5s[3/2]1),O,2824.6,5281.76
5s,5p,5s-3P1,5p-1D2,3,5,3196.28,2.49713,2.50462,3.40E+06,3.41E+06,Ar(5s[3/2]1),Ar(5p'[3/2]2),Ar(5p'[3/2]2)->Ar(5s[3/2]1),O,2072.2,3128.64
5s,5p,5s-3P2,5p-3S1,5,3,2979.9,1.15953,1.33051,2.29E+06,2.63E+06,Ar(5s[3/2]2),Ar(5p[1/2]1),Ar(5p[1/2]1)->Ar(5s[3/2]2),O,3133.3,3352.43
5s,5p,5s-3P2,5p-1P1,5,3,3447.74,0.02559,0.02175,6.77E+04,5.75E+04,Ar(5s[3/2]2),Ar(5p'[3/2]1),Ar(5p'[3/2]1)->Ar(5s[3/2]2),O,2024.72,2900.45
5s,5p,5s-3P2,5p-3D1,5,3,4719.54,1.034E-03,4.671E-04,5.12E+03,2.31E+03,Ar(5s[3/2]2),Ar(5p[3/2]1),Ar(5p[3/2]1)->Ar(5s[3/2]2),O,2715.29,2118.85
5s,5p,5s-3P2,5p-3P1,5,3,4783.53,0.0654,0.02912,3.33E+05,1.48E+05,Ar(5s[3/2]2),Ar(5p'[1/2]1),Ar(5p'[1/2]1)->Ar(5s[3/2]2),O,2003.56,2090.51
5s,5p,5s-3P2,5p-3D2,5,5,3288.36,0.62914,0.58993,8.50E+05,9.08E+05,Ar(5s[3/2]2),Ar(5p[5/2]2),Ar(5p[5/2]2)->Ar(5s[3/2]2),O,2832.18,3041.03
5s,5p,5s-3P2,5p-3P2,5,5,3470.46,2.07997,1.76643,3.34E+06,2.84E+06,Ar(5s[3/2]2),Ar(5p[3/2]2),Ar(5p[3/2]2)->Ar(5s[3/2]2),O,2691.71,2881.45
5s,5p,5s-3P2,5p-1D2,5,5,4773.44,0.0196,8.773E-03,5.96E+04,2.67E+04,Ar(5s[3/2]2),Ar(5p'[3/2]2),Ar(5p'[3/2]2)->Ar(5s[3/2]2),O,1999.77,2094.93
5s,5p,5s-3P2,5p-3D3,5,7,3232.35,3.59213,3.52309,3.58E+06,3.51E+06,Ar(5s[3/2]2),Ar(5p[5/2]3),Ar(5p[5/2]3)->Ar(5s[3/2]2),O,2878.29,3093.72
5p,6s,5p-3P0,6s-1P1,1,3,2096.77,0.2559,0.37771,2.51E+05,3.69E+05,Ar(5p[1/2]0),Ar(6s'[1/2]1),Ar(6s'[1/2]1)->Ar(5p[1/2]0),O,2779.05,4769.24
5p,6s,5p-3P0,6s-3P1,1,3,3502.5,0.01587,8.514E-03,4.33E+04,2.32E+04,Ar(5p[1/2]0),Ar(6s[3/2]1),Ar(6s[3/2]1)->Ar(5p[1/2]0),O,4551.21,2855.1
5p,6s,5p-1S0,6s-1P1,1,3,735.5,3.385E-03,0.04049,4.07E+02,4.87E+03,Ar(5p'[1/2]0),Ar(6s'[1/2]1),Ar(6s'[1/2]1)->Ar(5p'[1/2]0),O,4366.06,13596.19
5p,6s,5p-1S0,6s-3P1,1,3,2141.22,0.25862,0.3702,2.64E+05,3.77E+05,Ar(5p'[1/2]0),Ar(6s[3/2]1),Ar(6s[3/2]1)->Ar(5p'[1/2]0),O,11245.36,4670.21
5p,6s,5p-3S1,6s-3P0,3,1,4348.81,0.01879,6.422E-03,2.37E+05,8.10E+04,Ar(5p[1/2]1),Ar(6s'[1/2]0),Ar(6s'[1/2]0)->Ar(5p[1/2]1),O,2253.97,2301.07
5p,6s,5p-1P1,6s-3P0,3,1,3880.98,6.076E-03,2.638E-03,6.10E+04,2.65E+04,Ar(5p'[3/2]1),Ar(6s'[1/2]0),Ar(6s'[1/2]0)->Ar(5p'[3/2]1),O,3718.61,2576.67
5p,6s,5p-3D1,6s-3P0,3,1,2609.18,0.5905,0.56745,2.68E+06,2.58E+06,Ar(5p[3/2]1),Ar(6s'[1/2]0),Ar(6s'[1/2]0)->Ar(5p[3/2]1),O,2534.68,3832.62
5p,6s,5p-3P1,6s-3P0,3,1,2545.19,0.37265,0.37218,1.61E+06,1.61E+06,Ar(5p'[1/2]1),Ar(6s'[1/2]0),Ar(6s'[1/2]0)->Ar(5p'[1/2]1),O,3792.18,3928.98
5p,6s,5p-3S1,6s-1P1,3,3,2991.19,0.17809,0.12814,3.54E+05,2.55E+05,Ar(5p[1/2]1),Ar(6s'[1/2]1),Ar(6s'[1/2]1)->Ar(5p[1/2]1),O,2221.57,3346.52
5p,6s,5p-3S1,6s-3P1,3,3,4396.91,0.02899,9.784E-03,1.25E+05,4.21E+04,Ar(5p[1/2]1),Ar(6s[3/2]1),Ar(6s[3/2]1)->Ar(5p[1/2]1),O,3225.62,2275.88
5p,6s,5p-1P1,6s-1P1,3,3,2523.35,0.80308,0.82145,1.14E+06,1.16E+06,Ar(5p'[3/2]1),Ar(6s'[1/2]1),Ar(6s'[1/2]1)->Ar(5p'[3/2]1),O,3631.24,3962.99
5p,6s,5p-1P1,6s-3P1,3,3,3929.07,9.209E-05,4.159E-05,3.16E+02,1.43E+02,Ar(5p'[3/2]1),Ar(6s[3/2]1),Ar(6s[3/2]1)->Ar(5p'[3/2]1),O,7392.39,2545.13
5p,6s,5p-3D1,6s-1P1,3,3,1251.55,1.232E-03,5.087E-03,4.29E+02,1.77E+03,Ar(5p[3/2]1),Ar(6s'[1/2]1),Ar(6s'[1/2]1)->Ar(5p[3/2]1),O,2493.77,7990.09
5p,6s,5p-3D1,6s-3P1,3,3,2657.28,0.39534,0.36852,6.21E+05,5.79E+05,Ar(5p[3/2]1),Ar(6s[3/2]1),Ar(6s[3/2]1)->Ar(5p[3/2]1),O,3833.11,3763.25
5p,6s,5p-3P1,6s-1P1,3,3,1187.56,5.940E-04,2.680E-03,1.86E+02,8.40E+02,Ar(5p'[1/2]1),Ar(6s'[1/2]1),Ar(6s'[1/2]1)->Ar(5p'[1/2]1),O,3701.35,8420.63
5p,6s,5p-3P1,6s-3P1,3,3,2593.29,0.57541,0.55694,8.60E+05,8.33E+05,Ar(5p'[1/2]1),Ar(6s[3/2]1),Ar(6s[3/2]1)->Ar(5p'[1/2]1),O,7688.91,3856.11
5p,6s,5p-3S1,6s-3P2,3,5,2902.99,0.89326,0.69309,1.00E+06,7.79E+05,Ar(5p[1/2]1),Ar(6s[3/2]2),Ar(6s[3/2]2)->Ar(5p[1/2]1),O,3307.88,3448.29
5p,6s,5p-1P1,6s-3P2,3,5,2435.16,0.14105,0.15739,1.12E+05,1.25E+05,Ar(5p'[3/2]1),Ar(6s[3/2]2),Ar(6s[3/2]2)->Ar(5p'[3/2]1),O,7839.13,4106.51
5p,6s,5p-3D1,6s-3P2,3,5,1163.36,1.976E-04,9.720E-04,3.57E+01,1.75E+02,Ar(5p[3/2]1),Ar(6s[3/2]2),Ar(6s[3/2]2)->Ar(5p[3/2]1),O,3949.83,8595.79
5p,6s,5p-3P1,6s-3P2,3,5,1099.37,0.01188,0.0643,1.92E+03,1.04E+04,Ar(5p'[1/2]1),Ar(6s[3/2]2),Ar(6s[3/2]2)->Ar(5p'[1/2]1),O,8173.38,9096.12
5p,6s,5p-3D2,6s-1P1,5,3,2682.73,0.128003,0.116439,2.05E+05,1.86E+05,Ar(5p[5/2]2),Ar(6s'[1/2]1),Ar(6s'[1/2]1)->Ar(5p[5/2]2),O,2402.7,3727.55
5p,6s,5p-3D2,6s-3P1,5,3,4088.45,2.021E-04,7.531E-05,7.51E+02,2.80E+02,Ar(5p[5/2]2),Ar(6s[3/2]1),Ar(6s[3/2]1)->Ar(5p[5/2]2),O,3622.08,2445.91
5p,6s,5p-3P2,6s-1P1,5,3,2500.63,0.38057,0.39314,5.29E+05,5.57E+05,Ar(5p[3/2]2),Ar(6s'[1/2]1),Ar(6s'[1/2]1)->Ar(5p[3/2]2),O,2514.0,3999.01
5p,6s,5p-3P2,6s-3P1,5,3,3906.35,0.01491,6.333E-03,5.06E+04,2.15E+04,Ar(5p[3/2]2),Ar(6s[3/2]1),Ar(6s[3/2]1)->Ar(5p[3/2]2),O,3881.11,2559.93
5p,6s,5p-1D2,6s-1P1,5,3,1197.65,7.162E-04,3.187E-03,2.28E+02,1.02E+03,Ar(5p'[3/2]2),Ar(6s'[1/2]1),Ar(6s'[1/2]1)->Ar(5p'[3/2]2),O,3714.35,8349.68
5p,6s,5p-1D2,6s-3P1,5,3,2603.37,1.63853,1.56864,2.69E+06,2.36E+06,Ar(5p'[3/2]2),Ar(6s[3/2]1),Ar(6s[3/2]1)->Ar(5p'[3/2]2),O,7745.2,3841.16
5p,6s,5p-3D2,6s-3P2,5,5,2594.53,0.38888,0.38088,3.49E+05,3.42E+05,Ar(5p[5/2]2),Ar(6s[3/2]2),Ar(6s[3/2]2)->Ar(5p[5/2]2),O,3726.12,3854.25
5p,6s,5p-3P2,6s-3P2,5,5,2412.43,1.1502,1.28552,8.93E+05,9.98E+05,Ar(5p[3/2]2),Ar(6s[3/2]2),Ar(6s[3/2]2)->Ar(5p[3/2]2),O,4000.81,4145.2
5p,6s,5p-1D2,6s-3P2,5,5,1109.45,3.607E-03,0.01914,5.92E+02,3.14E+03,Ar(5p'[3/2]2),Ar(6s[3/2]2),Ar(6s[3/2]2)->Ar(5p'[3/2]2),O,8237.02,9013.39
5p,6s,5p-3D3,6s-3P2,7,5,2650.54,2.34989,2.17024,2.20E+06,2.03E+06,Ar(5p[5/2]3),Ar(6s[3/2]2),Ar(6s[3/2]2)->Ar(5p[5/2]3),O,3649.2,3772.8
g,6s,g-1S0,6s-1P1,1,3,118948.13,0.01266,0.01233,3.54E+07,3.88E+07,Ar,Ar(6s'[1/2]1),Ar(6s'[1/2]1)->Ar,O,82.53,84.07
g,6s,g-1S0,6s-3P1,1,3,120353.86,0.01338,0.01463,2.36E+07,3.0146E+07,Ar,Ar(6s[3/2]1),Ar(6s[3/2]1)->Ar,O,83.5,83.09
3d,4f,3d-3P0,4f-3D1,1,3,6728.13,0.771305,0.977509,7.76E+06,9.84E+06,Ar(3d[1/2]0),Ar(4f[3/2]1),Ar(4f[3/2]1)->Ar(3d[1/2]0),O,1173.64,1486.3
3d,4f,3d-3P1,4f-3D1,3,3,6599.2,0.701916,0.855671,6.80E+06,8.29E+06,Ar(3d[1/2]1),Ar(4f[3/2]1),Ar(4f[3/2]1)->Ar(3d[1/2]1),O,1194.71,1515.34
3d,4f,3d-3D1,4f-3D1,3,3,5008,0.103938,0.073025,5.80E+05,4.05E+05,Ar(3d[3/2]1),Ar(4f[3/2]1),Ar(4f[3/2]1)->Ar(3d[3/2]1),O,1655.49,1996.81
3d,4f,3d-1P1,4f-3D1,3,3,3450.21,0.010639,0.00354,2.82E+04,9.37E+03,Ar(3d'[3/2]1),Ar(4f[3/2]1),Ar(4f[3/2]1)->Ar(3d'[3/2]1),O,2074.1,2898.39
3d,4f,3d-3P1,4f-3D2,3,5,6599.68,1.10187,1.34283,6.40E+06,7.80E+06,Ar(3d[1/2]1),Ar(4f[3/2]2),Ar(4f[3/2]2)->Ar(3d[1/2]1),O,1194.66,1515.22
3d,4f,3d-3P1,4f-1D2,3,5,6645.24,0.455585,0.563487,2.68E+06,3.32E+06,Ar(3d[1/2]1),Ar(4f[5/2]2),Ar(4f[5/2]2)->Ar(3d[1/2]1),O,1188.77,1504.84
3d,4f,3d-3P1,4f-3F2,3,5,8084.82,0.078629,0.143886,6.86E+05,1.25E+06,Ar(3d[1/2]1),Ar(4f'[5/2]2),Ar(4f'[5/2]2)->Ar(3d[1/2]1),O,1016.62,1236.89
3d,4f,3d-3D1,4f-3D2,3,5,5008.48,0.758486,0.53208,2.54E+06,1.78E+06,Ar(3d[3/2]1),Ar(4f[3/2]2),Ar(4f[3/2]2)->Ar(3d[3/2]1),O,1655.38,1996.62
3d,4f,3d-3D1,4f-1D2,3,5,5054.04,1.66463,1.19001,5.67E+06,4.06E+06,Ar(3d[3/2]1),Ar(4f[5/2]2),Ar(4f[5/2]2)->Ar(3d[3/2]1),O,1644.11,1978.62
3d,4f,3d-3D1,4f-3F2,3,5,6493.62,0.436427,0.51521,2.46E+06,2.90E+06,Ar(3d[3/2]1),Ar(4f'[5/2]2),Ar(4f'[5/2]2)->Ar(3d[3/2]1),O,1332.12,1539.98
3d,4f,3d-1P1,4f-3D2,3,5,3450.69,0.687459,0.228966,1.09E+06,3.64E+05,Ar(3d'[3/2]1),Ar(4f[3/2]2),Ar(4f[3/2]2)->Ar(3d'[3/2]1),O,2073.93,2897.99
3d,4f,3d-1P1,4f-1D2,3,5,3496.25,0.303941,0.103952,4.96E+05,1.7E+05,Ar(3d'[3/2]1),Ar(4f[5/2]2),Ar(4f[5/2]2)->Ar(3d'[3/2]1),O,2056.26,2860.22
3d,4f,3d-1P1,4f-3F2,3,5,4935.83,2.45065,1.67152,7.96E+06,5.43E+06,Ar(3d'[3/2]1),Ar(4f'[5/2]2),Ar(4f'[5/2]2)->Ar(3d'[3/2]1),O,1590.4,2026.01
3d,4f,3d-3P2,4f-3D1,5,3,6339.6,0.071725,0.080663,6.41E+05,7.21E+05,Ar(3d[3/2]2),Ar(4f[3/2]1),Ar(4f[3/2]1)->Ar(3d[3/2]2),O,1242.34,1577.39
3d,4f,3d-3F2,4f-3D1,5,3,5760.79,0.035582,0.033071,2.63E+05,2.44E+05,Ar(3d[5/2]2),Ar(4f[3/2]1),Ar(4f[3/2]1)->Ar(3d[5/2]2),O,1478.79,1735.87
3d,4f,3d-1D2,4f-3D1,5,3,4560.25,4.16E-03,2.42E-03,1.92E+04,1.12E+04,Ar(3d'[5/2]2),Ar(4f[3/2]1),Ar(4f[3/2]1)->Ar(3d'[5/2]2),O,1802.7,2192.86
