"Multiconfiguration Dirac-Hartree-Fock energy levels, oscillator
strengths, transition probabilities, hyperfine constants and Land´e
g-factor of intermediate Rydberg series in neutral argon atom","Wa’el Salah1,a and Ola Hassouneh2",Eur. Phys. J. Plus (2017) 132: 160 THE EUROPEAN,,,,,,,,,
,Designation,LS-Term,Energy [cm-1] NIST,Energy [cm-1],g,,S,P,d,f,
5d,Ar(5d[1/2]0),5d-3P0,121794.0988,121202.73,1.0,,,,,,
,Ar(5d[1/2]1),5d-3P1,121932.8477,121262.12,3.0,,,,,,
,Ar(5d[7/2]4),5d-3F4,122036.0704,121326.5,9.0,,,,,,
,Ar(5d[7/2]3),5d-3F3,122160.1502,121396.52,7.0,,,,,,
,Ar(5d[3/2]2),5d-3P2,122086.9164,121356.01,5.0,,,,,,
,Ar(5d[3/2]1),5d-3D1,122514.192,121857.63,3.0,,,,,,
,Ar(5d[5/2]2),5d-3F2,122282.104,122830.32,5.0,,,,,,
,Ar(5d[5/2]3),5d-1F3,122329.672,122876.69,7.0,,,,,,
,Ar(5d'[5/2]2),5d-1D2,123505.4896,121496.43,5.0,,,,,,
,Ar(5d'[5/2]3),5d-3D3,123557.4227,121524.29,7.0,,,,,,
,Ar(5d'[3/2]2),5d-3D2,123372.9253,122843.56,5.0,,,,,,
,Ar(5d'[3/2]1),5d-1P1,123815.56,123687.21,3.0,,,,,,
6p,Ar(6p[1/2]1),6p-3S1,121068.736,120160.74,3.0,,,,,,
,Ar(6p[5/2]3),6p-3D3,121165.367,120256.98,7.0,,,,,,
,Ar(6p[5/2]2),6p-3D2,121191.805,121743.71,5.0,,,,,,
,Ar(6p[3/2]1),6p-3D1,121257.161,121718.52,3.0,,,,,,
,Ar(6p[3/2]2),6p-3P2,121270.617,120362,5.0,,,,,,
,Ar(6p[1/2]0),6p-3P0,121470.238,121937.67,1.0,,,,,,
,Ar(6p'[3/2]1),6p-1P1,122609.637,120352.61,3.0,,,,,,
,Ar(6p'[3/2]2),6p-1D2,122635.054,120283.28,5.0,,,,,,
,Ar(6p'[1/2]1),6p-3P1,122601.225,121735.39,3.0,,,,,,
,Ar(6p'[1/2]0),6p-1S0,122790.547,120570.7,1.0,,,,,,
7s,Ar(7s[3/2]2),7s-3P2,122440.0672,121505.42,5.0,,,,,,
,Ar(7s[3/2]1),7s-3P1,122479.382,121550.17,3.0,,,,,,
,Ar(7s'[1/2]0),7s-3P0,123873,122951.58,1.0,,,,,,
,Ar(7s'[1/2]1),7s-1P1,123882.203,122974.85,3.0,,,,,,
