Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,,,,
3s2.3p5.(2P*<1/2>).4f,2[5/2],3,7,,121654.234,,,,,
3s2.3p5.(2P*<1/2>).4f,2[5/2],2,5,,121654.580,,,,,
3s2.3p5.(2P*<3/2>).5d,2[1/2]*,0,1,,121794.0988,,,,,
3s2.3p5.(2P*<3/2>).5d,2[1/2]*,1,3,,121932.8477,,,,,
3s2.3p5.(2P*<3/2>).5d,2[7/2]*,4,9,,122036.0704,,,,,
3s2.3p5.(2P*<3/2>).5d,2[3/2]*,2,5,,122086.9164,,,,,
3s2.3p5.(2P*<3/2>).5d,2[7/2]*,3,7,,122160.1502,,,,,
3s2.3p5.(2P*<3/2>).5d,2[5/2]*,2,5,,122282.104,,,,,
3s2.3p5.(2P*<3/2>).5d,2[5/2]*,3,7,,122329.672,,,,,
3s2.3p5.(2P*<3/2>).7s,2[3/2]*,2,5,,122440.0672,,,,,
3s2.3p5.(2P*<3/2>).7s,2[3/2]*,1,3,,122479.3820,,,,,
3s2.3p5.(2P*<3/2>).5d,2[3/2]*,1,3,,122514.192,,,,,
3s2.3p5.(2P*<1/2>).6p,2[1/2],1,3,,122601.225,,,,,
3s2.3p5.(2P*<1/2>).6p,2[3/2],1,3,,122609.637,,,,,
3s2.3p5.(2P*<1/2>).6p,2[3/2],2,5,,122635.054,,,,,
3s2.3p5.(2P*<3/2>).5f,2[3/2],1,3,,122686.065,,,,,
3s2.3p5.(2P*<3/2>).5f,2[3/2],2,5,,122686.410,,,,,
3s2.3p5.(2P*<3/2>).5f,2[9/2],5,11,,122695.636,,,,,
3s2.3p5.(2P*<3/2>).5f,2[9/2],4,9,,122695.697,,,,,
3s2.3p5.(2P*<3/2>).5f,2[5/2],3,7,,122707.902,,,,,
3s2.3p5.(2P*<3/2>).5f,2[5/2],2,5,,122708.126,,,,,
3s2.3p5.(2P*<3/2>).5g,2[5/2]*,2,5,,122709.45,,,,,
3s2.3p5.(2P*<3/2>).5g,2[5/2]*,3,7,,122709.45,,,,,
3s2.3p5.(2P*<3/2>).5g,2[11/2]*,5,11,,122712.84,,,,,
3s2.3p5.(2P*<3/2>).5g,2[11/2]*,6,13,,122712.84,,,,,
3s2.3p5.(2P*<3/2>).5f,2[7/2],3,7,,122717.823,,,,,
3s2.3p5.(2P*<3/2>).5f,2[7/2],4,9,,122717.853,,,,,
3s2.3p5.(2P*<3/2>).5g,2[7/2]*,3,7,,122719.47,,,,,
3s2.3p5.(2P*<3/2>).5g,2[7/2]*,4,9,,122719.47,,,,,
3s2.3p5.(2P*<3/2>).5g,2[9/2]*,4,9,,122722.99,,,,,
3s2.3p5.(2P*<3/2>).5g,2[9/2]*,5,11,,122722.99,,,,,
3s2.3p5.(2P*<1/2>).6p,2[1/2],0,1,,122790.547,,,,,
3s2.3p5.(2P*<3/2>).7p,2[1/2],1,3,,123171.920,,,,,
3s2.3p5.(2P*<3/2>).7p,2[5/2],3,7,,123205.780,,,,,
3s2.3p5.(2P*<3/2>).7p,2[5/2],2,5,,123220.69,,,,,
3s2.3p5.(2P*<3/2>).7p,2[3/2],1,3,,123254.91,,,,,
3s2.3p5.(2P*<3/2>).7p,2[3/2],2,5,,123261.525,,,,,
3s2.3p5.(2P*<1/2>).5d,2[3/2]*,2,5,,123372.9253,,,,,
3s2.3p5.(2P*<3/2>).7p,2[1/2],0,1,,123385.044,,,,,
3s2.3p5.(2P*<3/2>).6d,2[1/2]*,1,3,,123467.9733,,,,,
3s2.3p5.(2P*<1/2>).5d,2[5/2]*,2,5,,123505.4896,,,,,
3s2.3p5.(2P*<3/2>).6d,2[1/2]*,0,1,,123508.927,,,,,
3s2.3p5.(2P*<1/2>).5d,2[5/2]*,3,7,,123557.4227,,,,,
3s2.3p5.(2P*<3/2>).6d,2[7/2]*,4,9,,123653.177,,,,,
3s2.3p5.(2P*<3/2>).6d,2[7/2]*,3,7,,123773.8614,,,,,
3s2.3p5.(2P*<3/2>).6d,2[3/2]*,2,5,,123808.513,,,,,
3s2.3p5.(2P*<1/2>).5d,2[3/2]*,1,3,,123815.56,,,,,
3s2.3p5.(2P*<3/2>).6d,2[5/2]*,2,5,,123826.750,,,,,
3s2.3p5.(2P*<3/2>).6d,2[5/2]*,3,7,,123832.419,,,,,
3s2.3p5.(2P*<1/2>).7s,2[1/2]*,0,1,,123873.000,,,,,
3s2.3p5.(2P*<1/2>).7s,2[1/2]*,1,3,,123882.203,,,,,
3s2.3p5.(2P*<3/2>).8s,2[3/2]*,2,5,,123903.220,,,,,
3s2.3p5.(2P*<3/2>).8s,2[3/2]*,1,3,,123935.870,,,,,
3s2.3p5.(2P*<3/2>).6d,2[3/2]*,1,3,,123997.01,,,,,
3s2.3p5.(2P*<3/2>).6f,2[3/2],1,3,,124041.100,,,,,
3s2.3p5.(2P*<3/2>).6f,2[3/2],2,5,,124041.26,,,,,
3s2.3p5.(2P*<3/2>).6f,2[9/2],5,11,,124046.602,,,,,
3s2.3p5.(2P*<3/2>).6f,2[9/2],4,9,,124046.630,,,,,
3s2.3p5.(2P*<3/2>).6f,2[5/2],3,7,,124051.375,,,,,
3s2.3p5.(2P*<3/2>).6f,2[5/2],2,5,,124051.630,,,,,
3s2.3p5.(2P*<3/2>).6g,2[5/2]*,2,5,,124055.06,,,,,
3s2.3p5.(2P*<3/2>).6g,2[5/2]*,3,7,,124055.06,,,,,
3s2.3p5.(2P*<3/2>).6g,2[11/2]*,5,11,,124056.98,,,,,
3s2.3p5.(2P*<3/2>).6g,2[11/2]*,6,13,,124056.98,,,,,
3s2.3p5.(2P*<3/2>).6f,2[7/2],3,7,,124058.232,,,,,
3s2.3p5.(2P*<3/2>).6f,2[7/2],4,9,,124058.241,,,,,
3s2.3p5.(2P*<3/2>).6g,2[7/2]*,3,7,,124060.55,,,,,
3s2.3p5.(2P*<3/2>).6g,2[7/2]*,4,9,,124060.55,,,,,
3s2.3p5.(2P*<3/2>).6g,2[9/2]*,4,9,,124062.6,,,,,
3s2.3p5.(2P*<3/2>).6g,2[9/2]*,5,11,,124062.6,,,,,
3s2.3p5.(2P*<1/2>).5f,2[7/2],3,7,,124135.669,,,,,
3s2.3p5.(2P*<1/2>).5f,2[7/2],4,9,,124135.698,,,,,
3s2.3p5.(2P*<1/2>).5f,2[5/2],3,7,,124137.214,,,,,
3s2.3p5.(2P*<1/2>).5f,2[5/2],2,5,,124137.436,,,,,
3s2.3p5.(2P*<1/2>).5g,2[9/2]*,4,9,,124148.26,,,,,
3s2.3p5.(2P*<1/2>).5g,2[9/2]*,5,11,,124148.26,,,,,
3s2.3p5.(2P*<1/2>).5g,2[7/2]*,3,7,,124148.50,,,,,
3s2.3p5.(2P*<1/2>).5g,2[7/2]*,4,9,,124148.50,,,,,
3s2.3p5.(2P*<3/2>).8p,2[1/2],1,3,,124311.68,,,,,
3s2.3p5.(2P*<3/2>).8p,2[5/2],3,7,,124349.02,,,,,
3s2.3p5.(2P*<3/2>).8p,2[5/2],2,5,,124356.89,,,,,
3s2.3p5.(2P*<3/2>).8p,2[3/2],1,3,,124376.31,,,,,
3s2.3p5.(2P*<3/2>).8p,2[3/2],2,5,,124381.16,,,,,
3s2.3p5.(2P*<3/2>).8p,2[1/2],0,1,,124439.34,,,,,
3s2.3p5.(2P*<3/2>).7d,2[1/2]*,0,1,,124526.695,,,,,
3s2.3p5.(2P*<3/2>).7d,2[1/2]*,1,3,,124554.874,,,,,
3s2.3p5.(2P*<3/2>).7d,2[3/2]*,2,5,,124603.890,,,,,
3s2.3p5.(2P*<3/2>).7d,2[7/2]*,4,9,,124609.856,,,,,
3s2.3p5.(2P*<1/2>).7p,2[3/2],1,3,,124643.45,,,,,
3s2.3p5.(2P*<3/2>).7d,2[7/2]*,3,7,,124649.485,,,,,
3s2.3p5.(2P*<1/2>).7p,2[1/2],1,3,,124650.95,,,,,
3s2.3p5.(2P*<1/2>).7p,2[3/2],2,5,,124658.44,,,,,
3s2.3p5.(2P*<3/2>).7d,2[5/2]*,2,5,,124691.951,,,,,
3s2.3p5.(2P*<3/2>).7d,2[5/2]*,3,7,,124715.081,,,,,
3s2.3p5.(2P*<1/2>).7p,2[1/2],0,1,,124749.805,,,,,
3s2.3p5.(2P*<3/2>).9s,2[3/2]*,2,5,,124771.59,,,,,
3s2.3p5.(2P*<3/2>).9s,2[3/2]*,1,3,,124782.61,,,,,
3s2.3p5.(2P*<3/2>).7d,2[3/2]*,1,3,,124788.22,,,,,
3s2.3p5.(2P*<3/2>).7f,2[3/2],1,3,,124857.138,,,,,
3s2.3p5.(2P*<3/2>).7f,2[3/2],2,5,,124857.33,,,,,
3s2.3p5.(2P*<3/2>).7f,2[9/2],5,11,,124860.602,,,,,
3s2.3p5.(2P*<3/2>).7f,2[9/2],4,9,,124860.615,,,,,
3s2.3p5.(2P*<3/2>).7f,2[5/2],3,7,,124864.977,,,,,
3s2.3p5.(2P*<3/2>).7f,2[5/2],2,5,,124865.09,,,,,
3s2.3p5.(2P*<3/2>).7g,2[11/2]*,5,11,,124867.27,,,,,
3s2.3p5.(2P*<3/2>).7g,2[11/2]*,6,13,,124867.27,,,,,
3s2.3p5.(2P*<3/2>).7h,2[7/2],3,7,,124868.45,,,,,
3s2.3p5.(2P*<3/2>).7h,2[7/2],4,9,,124868.45,,,,,
3s2.3p5.(2P*<3/2>).7f,2[7/2],3,7,,124868.62,,,,,
3s2.3p5.(2P*<3/2>).7f,2[7/2],4,9,,124868.68,,,,,
3s2.3p5.(2P*<3/2>).7h,2[13/2],6,13,,124868.97,,,,,
3s2.3p5.(2P*<3/2>).7h,2[13/2],7,15,,124868.97,,,,,
3s2.3p5.(2P*<3/2>).9p,2[1/2],1,3,,125039.51,,,,,
3s2.3p5.(2P*<3/2>).9p,2[5/2],3,7,,125054.13,,,,,
3s2.3p5.(2P*<3/2>).9p,2[5/2],2,5,,125059.76,,,,,
3s2.3p5.(2P*<1/2>).6d,2[3/2]*,2,5,,125066.432,,,,,
3s2.3p5.(2P*<3/2>).9p,2[3/2],1,3,,125072.63,,,,,
3s2.3p5.(2P*<3/2>).9p,2[3/2],2,5,,125075.14,,,,,
3s2.3p5.(2P*<1/2>).6d,2[5/2]*,2,5,,125113.376,,,,,
3s2.3p5.(2P*<3/2>).9p,2[1/2],0,1,,125122.50,,,,,
3s2.3p5.(2P*<3/2>).8d,2[1/2]*,1,3,,125135.831,,,,,
3s2.3p5.(2P*<1/2>).6d,2[5/2]*,3,7,,125149.937,,,,,
3s2.3p5.(2P*<3/2>).8d,2[1/2]*,0,1,,125162.94,,,,,
3s2.3p5.(2P*<3/2>).8d,2[7/2]*,4,9,,125219.788,,,,,
3s2.3p5.(2P*<3/2>).8d,2[7/2]*,3,7,,125269.42,,,,,
3s2.3p5.(2P*<3/2>).8d,2[3/2]*,2,5,,125282.90,,,,,
3s2.3p5.(2P*<1/2>).6d,2[3/2]*,1,3,,125286.26,,,,,
3s2.3p5.(2P*<3/2>).8d,2[5/2]*,2,5,,125291.23,,,,,
3s2.3p5.(2P*<3/2>).8d,2[5/2]*,3,7,,125293.67,,,,,
3s2.3p5.(2P*<3/2>).10s,2[3/2]*,2,5,,125329.94,,,,,
3s2.3p5.(2P*<3/2>).10s,2[3/2]*,1,3,,125331.84,,,,,
3s2.3p5.(2P*<1/2>).8s,2[1/2]*,0,1,,125334.69,,,,,
3s2.3p5.(2P*<1/2>).8s,2[1/2]*,1,3,,125353.23,,,,,
