obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),S(a.u.),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,
,562.3770,,1.4E+05,6.2E-02,D,107289.7001,125066.432,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,3s2.3p5.(2P*<1/2>).6d,2[3/2]*,2,5,5,,
,563.5576,,9.6E+04,4.2E-02,D,106087.2598,123826.750,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).6d,2[5/2]*,2,3,5,,
,563.734,,9.1E+04,2.4E-02,D,107054.2720,124788.22,3s2.3p5.(2P*<3/2>).4p,2[1/2],0,3s2.3p5.(2P*<3/2>).7d,2[3/2]*,1,1,3,,
,563.912,,2.1E+05,5.6E-02,D,107054.2720,124782.61,3s2.3p5.(2P*<3/2>).4p,2[1/2],0,3s2.3p5.(2P*<3/2>).9s,2[3/2]*,1,1,3,,
,564.1376,,8.7E+04,3.9E-02,D,106087.2598,123808.513,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).6d,2[3/2]*,2,3,5,,
,564.8687,,1.2E+05,3.2E-02,D,106237.5518,123935.870,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).8s,2[3/2]*,1,5,3,,
565.0704,565.0704,20,3.2E+06,2.85E-01,C,104102.0990,121794.0988,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).5d,2[1/2]*,0,3,1,,
,565.9127,,2.6E+05,1.2E-01,D,106237.5518,123903.220,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).8s,2[3/2]*,2,5,5,,
,568.1899,,2E+05,1.3E-01,D,106237.5518,123832.419,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).6d,2[5/2]*,3,5,7,,
,568.3730,,2E+05,9.1E-02,D,106237.5518,123826.750,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).6d,2[5/2]*,2,5,5,,
,570.0872,,5.9E+05,3.8E-01,D,106237.5518,123773.8614,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).6d,2[7/2]*,3,5,7,,
,571.2504,,8.7E+04,2.4E-02,D,107054.2720,124554.874,3s2.3p5.(2P*<3/2>).4p,2[1/2],0,3s2.3p5.(2P*<3/2>).7d,2[1/2]*,1,1,3,,
573.9520,573.9519,10,8.7E+05,4.1E-01,D,106087.2598,123505.4896,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3s2.3p5.(2P*<1/2>).5d,2[5/2]*,2,3,5,,
,577.2114,,2E+05,1.3E-01,D,106237.5518,123557.4227,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<1/2>).5d,2[5/2]*,3,5,7,,
,577.4008,,1.1E+05,5.2E-02,D,107289.7001,124603.890,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).7d,2[3/2]*,2,5,5,,
,578.3536,,8.1E+04,3.9E-02,D,106087.2598,123372.9253,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3s2.3p5.(2P*<1/2>).5d,2[3/2]*,2,3,5,,
,578.9474,,4.6E+04,2.2E-02,D,106237.5518,123505.4896,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<1/2>).5d,2[5/2]*,2,5,5,,
,579.0401,,3.4E+04,9.8E-03,D,107289.7001,124554.874,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).7d,2[1/2]*,1,5,3,,
,580.2080,,4.2E+05,1.2E-01,D,106237.5518,123467.9733,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).6d,2[1/2]*,1,5,3,,
583.4263,583.4264,5,5.2E+05,2.6E-01,C,106237.5518,123372.9253,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<1/2>).5d,2[3/2]*,2,5,5,,
,584.3779,,3.3E+04,1.6E-02,D,107496.4166,124603.890,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).7d,2[3/2]*,2,3,5,,
586.0310,586.0310,10,2.85E+05,8.5E-02,C,104102.0990,121161.3135,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<1/2>).6s,2[1/2]*,1,3,3,,
588.2624,588.2624,15,1.23E+06,1.24E-01,C,104102.0990,121096.605,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<1/2>).6s,2[1/2]*,0,3,1,,
588.8584,588.8584,25,1.29E+06,6.51E-01,C,105462.7596,122440.0672,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<3/2>).7s,2[3/2]*,2,7,5,,
591.2085,591.2085,50,1.05E+06,3.22E-01,C,104102.0990,121011.9198,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<1/2>).4d,2[3/2]*,1,3,3,,
,591.6598,,5.9E+04,1.8E-02,D,105617.2700,122514.192,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).5d,2[3/2]*,1,5,3,,
,592.7125,,3.7E+04,2.7E-02,D+,105462.7596,122329.672,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<3/2>).5d,2[5/2]*,3,7,7,,
592.8813,592.8812,15,1.1E+06,3.4E-01,D+,105617.2700,122479.3820,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).7s,2[3/2]*,1,5,3,,
,594.0855,,1.2E+05,3.7E-02,D,107054.2720,123882.203,3s2.3p5.(2P*<3/2>).4p,2[1/2],0,3s2.3p5.(2P*<1/2>).7s,2[1/2]*,1,1,3,,
594.2669,594.2668,5,1.8E+05,9.3E-02,D,105617.2700,122440.0672,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).7s,2[3/2]*,2,5,5,,
,594.3888,,3.6E+04,1.9E-02,D,105462.7596,122282.104,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<3/2>).5d,2[5/2]*,2,7,5,,
,594.9259,,1.5E+05,4.7E-02,D,107131.7086,123935.870,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).8s,2[3/2]*,1,3,3,,
,596.448,,7.7E+04,2.4E-02,D,107054.2720,123815.56,3s2.3p5.(2P*<3/2>).4p,2[1/2],0,3s2.3p5.(2P*<1/2>).5d,2[3/2]*,1,1,3,,
,596.8320,,1.8E+05,5.7E-02,D,107131.7086,123882.203,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3s2.3p5.(2P*<1/2>).7s,2[1/2]*,1,3,3,,
,597.1601,,1.1E+06,1.2E-01,D+,107131.7086,123873.000,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3s2.3p5.(2P*<1/2>).7s,2[1/2]*,0,3,1,,
,598.1923,,1.2E+04,8.9E-03,D,105617.2700,122329.672,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).5d,2[5/2]*,3,5,7,,
598.7302,598.7301,7,1.2E+05,8.9E-02,D,105462.7596,122160.1502,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<3/2>).5d,2[7/2]*,3,7,7,,
,598.8144,,6.1E+04,3.2E-02,D,107131.7086,123826.750,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).6d,2[5/2]*,2,3,5,,
,599.4692,,2.6E+04,1.4E-02,D,107131.7086,123808.513,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).6d,2[3/2]*,2,3,5,,
599.8999,599.8998,5,1.4E+05,7.5E-02,D,105617.2700,122282.104,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).5d,2[5/2]*,2,5,5,,
,600.5725,,1.4E+05,4.5E-02,D+,107289.7001,123935.870,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).8s,2[3/2]*,1,5,3,,
,601.3677,,1.4E+05,7.5E-02,D+,105462.7596,122086.9164,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<3/2>).5d,2[3/2]*,2,7,5,,
602.5150,602.5150,5,9E+05,2.9E-01,D+,107289.7001,123882.203,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,3s2.3p5.(2P*<1/2>).7s,2[1/2]*,1,5,3,,
603.2127,603.2127,70,2.46E+06,2.4E+00,C,105462.7596,122036.0704,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<3/2>).5d,2[7/2]*,4,7,9,,
604.3223,604.3223,35,1.47E+06,1.12E+00,C,105617.2700,122160.1502,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).5d,2[7/2]*,3,5,7,,
605.2723,605.2723,10,1.9E+05,1E-01,D+,104102.0990,120619.0162,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<1/2>).4d,2[5/2]*,2,3,5,,
605.9372,605.9372,20,4.2E+05,2.3E-01,C,104102.0990,120600.8905,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<1/2>).4d,2[3/2]*,2,3,5,,
,606.4750,,5.8E+04,4.5E-02,D,107289.7001,123773.8614,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).6d,2[7/2]*,3,5,7,,
,608.1244,,7.5E+04,2.5E-02,D,107496.4166,123935.870,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).8s,2[3/2]*,1,3,3,,
,608.5879,,9E+03,3E-03,,106087.2598,122514.192,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).5d,2[3/2]*,1,3,3,,
,609.0785,,3E+05,1E-01,D,107054.2720,123467.9733,3s2.3p5.(2P*<3/2>).4p,2[1/2],0,3s2.3p5.(2P*<3/2>).6d,2[1/2]*,1,1,3,,
609.8803,609.8803,7,5.2E+05,1.7E-01,D+,106087.2598,122479.3820,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).7s,2[3/2]*,1,3,3,,
,610.1161,,3.3E+05,1.1E-01,D+,107496.4166,123882.203,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3s2.3p5.(2P*<1/2>).7s,2[1/2]*,1,3,3,,
,610.4590,,3.4E+05,3.8E-02,D,107496.4166,123873.000,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3s2.3p5.(2P*<1/2>).7s,2[1/2]*,0,3,1,,
610.5635,610.5635,10,1.21E+06,6.8E-01,C,107131.7086,123505.4896,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3s2.3p5.(2P*<1/2>).5d,2[5/2]*,2,3,5,,
,611.3466,,4.7E+04,2.7E-02,D+,106087.2598,122440.0672,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).7s,2[3/2]*,2,3,5,,
,611.9656,,5.1E+04,1.7E-02,D+,107131.7086,123467.9733,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).6d,2[1/2]*,1,3,3,,
,612.1879,,1.3E+04,7.4E-03,D,107496.4166,123826.750,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).6d,2[5/2]*,2,3,5,,
,612.7416,,1.1E+05,3.8E-02,D+,105617.2700,121932.8477,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).5d,2[1/2]*,1,5,3,,
,612.8724,,8.6E+04,4.9E-02,D,107496.4166,123808.513,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).6d,2[3/2]*,2,3,5,,
614.5441,614.5441,10,7.6E+05,6.1E-01,C,107289.7001,123557.4227,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,3s2.3p5.(2P*<1/2>).5d,2[5/2]*,3,5,7,,
,615.5238,,5.1E+05,1.8E-01,D,106237.5518,122479.3820,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).7s,2[3/2]*,1,5,3,,
,616.5123,,9.89E+04,5.72E-02,C,107289.7001,123505.4896,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,3s2.3p5.(2P*<1/2>).5d,2[5/2]*,2,5,5,,
617.0174,617.0174,7,5E+05,2.9E-01,C,106237.5518,122440.0672,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).7s,2[3/2]*,2,5,5,,
617.3096,617.3096,10,6.7E+05,3.9E-01,C,106087.2598,122282.104,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).5d,2[5/2]*,2,3,5,,
,617.9419,,6.6E+04,2.3E-02,D,107289.7001,123467.9733,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).6d,2[1/2]*,1,5,3,,
621.2503,621.2503,10,3.9E+05,3.2E-01,D+,106237.5518,122329.672,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).5d,2[5/2]*,3,5,7,,
621.5938,621.5939,5,5.7E+05,3.4E-01,D+,107289.7001,123372.9253,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,3s2.3p5.(2P*<1/2>).5d,2[3/2]*,2,5,5,,
,623.0921,,1.2E+04,7.2E-03,D,106237.5518,122282.104,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).5d,2[5/2]*,2,5,5,,
,624.3390,,1.3E+05,1.6E-02,D,107496.4166,123508.927,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).6d,2[1/2]*,0,3,1,,
,624.4730,,2E+04,1.2E-02,D,107496.4166,123505.4896,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3s2.3p5.(2P*<1/2>).5d,2[5/2]*,2,3,5,,
,624.8406,,6.8E+04,4.1E-02,D,106087.2598,122086.9164,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).5d,2[3/2]*,2,3,5,,
,627.8645,,2E+04,1.7E-02,D,106237.5518,122160.1502,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).5d,2[7/2]*,3,5,7,,
629.6872,629.6873,7,9E+05,5.5E-01,D+,107496.4166,123372.9253,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3s2.3p5.(2P*<1/2>).5d,2[3/2]*,2,3,5,,
630.7657,630.7657,15,6E+05,3.7E-01,D+,106237.5518,122086.9164,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).5d,2[3/2]*,2,5,5,,
,630.9160,,7.6E+04,2.8E-02,D,106087.2598,121932.8477,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).5d,2[1/2]*,1,3,3,,
,636.4894,,5.6E+05,7.1E-02,D+,106087.2598,121794.0988,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).5d,2[1/2]*,0,3,1,,
636.9575,636.9575,7,4.2E+05,1.6E-01,D+,106237.5518,121932.8477,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).5d,2[1/2]*,1,5,3,,
638.4717,638.4717,20,4.21E+05,1.62E-01,C,104102.0990,119760.1725,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).6s,2[3/2]*,1,3,3,,
641.6307,641.6307,70,1.16E+06,7.57E-01,C,104102.0990,119683.0821,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).6s,2[3/2]*,2,3,5,,
,643.1555,,5.1E+04,2E-02,D,105617.2700,121161.3135,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<1/2>).6s,2[1/2]*,1,5,3,,
,646.6552,,1.5E+05,6E-02,D,107054.2720,122514.192,3s2.3p5.(2P*<3/2>).4p,2[1/2],0,3s2.3p5.(2P*<3/2>).5d,2[3/2]*,1,1,3,,
,648.1145,,9.4E+04,3.8E-02,D,107054.2720,122479.3820,3s2.3p5.(2P*<3/2>).4p,2[1/2],0,3s2.3p5.(2P*<3/2>).7s,2[3/2]*,1,1,3,,
,649.3969,,3.1E+04,1.3E-02,D,105617.2700,121011.9198,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<1/2>).4d,2[3/2]*,1,5,3,,
,651.3846,,5.4E+04,2.2E-02,D,107131.7086,122479.3820,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).7s,2[3/2]*,1,3,3,,
653.8112,653.8112,15,1.1E+05,1.1E-01,D+,105462.7596,120753.4714,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<1/2>).4d,2[5/2]*,3,7,7,,
,659.6113,,2.3E+04,1.6E-02,D,105462.7596,120619.0162,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<1/2>).4d,2[5/2]*,2,7,5,,
,659.8678,,3.6E+04,2.6E-02,D,107289.7001,122440.0672,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).7s,2[3/2]*,2,5,5,,
,660.4011,,2.8E+05,2E-01,D+,105462.7596,120600.8905,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<1/2>).4d,2[3/2]*,2,7,5,,
660.4853,660.4853,15,1.3E+04,1.3E-02,D,105617.2700,120753.4714,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<1/2>).4d,2[5/2]*,3,5,7,,
,663.2084,,5.3E+04,2.3E-02,D,106087.2598,121161.3135,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3s2.3p5.(2P*<1/2>).6s,2[1/2]*,1,3,3,,
,665.6938,,3.1E+04,1.4E-02,D,107496.4166,122514.192,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).5d,2[3/2]*,1,3,3,,
666.0676,666.0677,5,7.8E+05,1.1E-01,D,106087.2598,121096.605,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3s2.3p5.(2P*<1/2>).6s,2[1/2]*,0,3,1,,
666.4051,666.4051,5,1.5E+05,1.1E-01,D+,105617.2700,120619.0162,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<1/2>).4d,2[5/2]*,2,5,5,,
667.7282,667.7281,100,2.36E+05,3.5E-02,B,93750.5978,108722.6194,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,3s2.3p5.(2P*<1/2>).4p,2[1/2],0,3,1,,
,668.4788,,3.9E+04,2.9E-02,D,107131.7086,122086.9164,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).5d,2[3/2]*,2,3,5,,
,669.8471,,2.5E+04,1.1E-02,D,106087.2598,121011.9198,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3s2.3p5.(2P*<1/2>).4d,2[3/2]*,1,3,3,,
,669.8874,,1.6E+05,7.1E-02,D+,106237.5518,121161.3135,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<1/2>).6s,2[1/2]*,1,5,3,,
,671.9219,,2.4E+05,1.1E-01,D,107054.2720,121932.8477,3s2.3p5.(2P*<3/2>).4p,2[1/2],0,3s2.3p5.(2P*<3/2>).5d,2[1/2]*,1,1,3,,
,672.2890,,3.2E+04,3.4E-02,D,107289.7001,122160.1502,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).5d,2[7/2]*,3,5,7,,
675.2834,675.2834,150,1.93E+06,1.47E+00,C,104102.0990,118906.6110,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).4d,2[3/2]*,2,3,5,,
,675.4372,,2.1E+05,9.6E-02,D,107131.7086,121932.8477,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).5d,2[1/2]*,1,3,3,,
675.6163,675.6163,5,3.6E+05,2.7E-01,D+,107289.7001,122086.9164,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).5d,2[3/2]*,2,5,5,,
676.6612,676.6611,15,4E+05,1.8E-01,D+,106237.5518,121011.9198,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<1/2>).4d,2[3/2]*,1,5,3,,
,677.9926,,1.21E+05,5.59E-02,C,108722.6194,123467.9733,3s2.3p5.(2P*<1/2>).4p,2[1/2],0,3s2.3p5.(2P*<3/2>).6d,2[1/2]*,1,1,3,,
,681.8289,,2E+05,3.1E-02,D,107131.7086,121794.0988,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).5d,2[1/2]*,0,3,1,,
,682.7249,,2.4E+05,1.1E-01,D,107289.7001,121932.8477,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,3s2.3p5.(2P*<3/2>).5d,2[1/2]*,1,5,3,,
,685.1884,,6.7E+04,5.3E-02,D,107496.4166,122086.9164,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).5d,2[3/2]*,2,3,5,,
687.1289,687.1289,150,2.78E+06,1.34E+00,C,104102.0990,118651.3950,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).4d,2[1/2]*,1,3,3,,
687.9582,687.9583,5,1.8E+05,1.4E-01,D+,106087.2598,120619.0162,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3s2.3p5.(2P*<1/2>).4d,2[5/2]*,2,3,5,,
,688.7088,,1.3E+05,1.5E-01,D+,106237.5518,120753.4714,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<1/2>).4d,2[5/2]*,3,5,7,,
688.8174,688.8174,10,2.5E+05,2E-01,D+,106087.2598,120600.8905,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3s2.3p5.(2P*<1/2>).4d,2[3/2]*,2,3,5,,
,692.5009,,1.2E+05,5.9E-02,D+,107496.4166,121932.8477,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).5d,2[1/2]*,1,3,3,,
693.7664,693.7664,50,3.08E+06,5.08E-01,C,104102.0990,118512.197,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).4d,2[1/2]*,0,3,1,,
695.1478,695.1477,7,2.2E+05,1.8E-01,D,106237.5518,120619.0162,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<1/2>).4d,2[5/2]*,2,5,5,,
696.0250,696.0250,7,2.4E+05,2E-01,D,106237.5518,120600.8905,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,3s2.3p5.(2P*<1/2>).4d,2[3/2]*,2,5,5,,
696.5431,696.5430,10000,6.4E+06,3.2E+00,B+,93143.7600,107496.4166,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,2,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,5,3,,
,699.2212,,7.5E+05,1.3E-01,D+,107496.4166,121794.0988,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).5d,2[1/2]*,0,3,1,,
703.0251,703.0251,150,2.67E+06,2.29E+00,C,105462.7596,119683.0821,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<3/2>).6s,2[3/2]*,2,7,5,,
706.7218,706.7217,10000,3.8E+06,3.3E+00,B,93143.7600,107289.7001,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,2,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,5,5,,
706.8736,706.8735,100,2E+06,1E+00,D+,105617.2700,119760.1725,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).6s,2[3/2]*,1,5,3,,
,708.6705,,1.5E+05,7.9E-02,D+,107054.2720,121161.3135,3s2.3p5.(2P*<3/2>).4p,2[1/2],0,3s2.3p5.(2P*<1/2>).6s,2[1/2]*,1,1,3,,
710.7478,710.7477,25,4.5E+05,4E-01,D+,105617.2700,119683.0821,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).6s,2[3/2]*,2,5,5,,
712.5820,712.5820,25,6E+05,3.2E-01,D+,107131.7086,121161.3135,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3s2.3p5.(2P*<1/2>).6s,2[1/2]*,1,3,3,,
714.7042,714.7041,1000,6.3E+05,3.4E-01,B,93143.7600,107131.7086,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,2,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,5,3,,
715.8839,715.8839,15,2.1E+06,3.8E-01,D+,107131.7086,121096.605,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3s2.3p5.(2P*<1/2>).6s,2[1/2]*,0,3,1,,
,716.2557,,5.8E+04,3.2E-02,D,107054.2720,121011.9198,3s2.3p5.(2P*<3/2>).4p,2[1/2],0,3s2.3p5.(2P*<1/2>).4d,2[3/2]*,1,1,3,,
720.6980,720.6980,70,2.48E+06,1.38E+00,C,107289.7001,121161.3135,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,3s2.3p5.(2P*<1/2>).6s,2[1/2]*,1,5,3,,
,722.994,,6.6E+04,6.2E-02,D,105617.2700,119444.83,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,3s2.3p5.(2P*<3/2>).4d,2[5/2]*,2,5,5,,
726.5172,726.517,15,1.7E+05,9.7E-02,D,106087.2598,119847.77,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).4d,2[3/2]*,1,3,3,,
727.0664,727.067,7,1.1E+05,1.5E-01,D,105462.7596,119212.87,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,3s2.3p5.(2P*<3/2>).4d,2[7/2]*,3,7,7,,
727.2936,727.2935,2000,1.83E+06,1.04E+00,B+,93750.5978,107496.4166,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3,3,,
,728.5443,,1.2E+05,6.9E-02,D,107289.7001,121011.9198,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,3s2.3p5.(2P*<1/2>).4d,2[3/2]*,1,5,3,,
731.1716,731.1716,35,1.7E+06,9.8E-01,D+,106087.2598,119760.1725,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3s2.3p5.(2P*<3/2>).6s,2[3/2]*,1,3,3,,
731.6005,731.6005,25,9.6E+05,5.6E-01,D+,107496.4166,121161.3135,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3s2.3p5.(2P*<1/2>).6s,2[1/2]*,1,3,3,,
