BOLSIG+ script file: glow-discharge/CR/1Torr_100V/Transport/input.300K.bolsig.dat
READCOLLISIONS
Ar
glow-discharge/nominal-crs/BSR_CRModel.txt
C1    Ar    Elastic                                             
C121  Ar(1s2)    Excitation    1.25 eV                          
C122  Ar(1s2)    Excitation    1.38 eV                          
C123  Ar(1s2)    Excitation    1.40 eV                          
C124  Ar(1s2)    Excitation    1.45 eV                          
C125  Ar(1s2)    Excitation    1.47 eV                          
C126  Ar(1s2)    Excitation    1.57 eV                          
C127  Ar(1s2)    Excitation    1.57 eV                          
C128  Ar(1s2)    Excitation    1.59 eV                          
C129  Ar(1s2)    Excitation    1.61 eV                          
C130  Ar(1s2)    Excitation    1.77 eV                          
C131  Ar(1s2)    Excitation    2.24 eV                          
C132  Ar(1s2)    Excitation    2.25 eV                          
C133  Ar(1s2)    Excitation    2.27 eV                          
C134  Ar(1s2)    Excitation    2.32 eV                          
C135  Ar(1s2)    Excitation    2.34 eV                          
C136  Ar(1s2)    Excitation    2.34 eV                          
C137  Ar(1s2)    Excitation    2.35 eV                          
C138  Ar(1s2)    Excitation    2.37 eV                          
C139  Ar(1s2)    Excitation    2.38 eV                          
C140  Ar(1s2)    Excitation    2.40 eV                          
C141  Ar(1s2)    Excitation    2.48 eV                          
C142  Ar(1s2)    Excitation    2.50 eV                          
C143  Ar(1s2)    Excitation    2.51 eV                          
C144  Ar(1s2)    Excitation    2.52 eV                          
C145  Ar(1s2)    Excitation    2.52 eV                          
C146  Ar(1s2)    Excitation    2.55 eV                          
C147  Ar(1s2)    Ionization    3.93 eV                          
Ar(2p10)
glow-discharge/nominal-crs/BSR_CRModel.txt
C148  Ar(2p10)    Excitation    0.13 eV                         
C149  Ar(2p10)    Excitation    0.15 eV                         
C150  Ar(2p10)    Excitation    0.20 eV                         
C151  Ar(2p10)    Excitation    0.23 eV                         
C152  Ar(2p10)    Excitation    0.32 eV                         
C153  Ar(2p10)    Excitation    0.32 eV                         
C154  Ar(2p10)    Excitation    0.34 eV                         
C155  Ar(2p10)    Excitation    0.37 eV                         
C156  Ar(2p10)    Excitation    0.52 eV                         
C157  Ar(2p10)    Excitation    0.99 eV                         
C158  Ar(2p10)    Excitation    1.01 eV                         
C159  Ar(2p10)    Excitation    1.03 eV                         
C160  Ar(2p10)    Excitation    1.07 eV                         
C161  Ar(2p10)    Excitation    1.09 eV                         
C162  Ar(2p10)    Excitation    1.09 eV                         
C163  Ar(2p10)    Excitation    1.10 eV                         
C164  Ar(2p10)    Excitation    1.13 eV                         
C165  Ar(2p10)    Excitation    1.14 eV                         
C166  Ar(2p10)    Excitation    1.15 eV                         
C167  Ar(2p10)    Excitation    1.24 eV                         
C168  Ar(2p10)    Excitation    1.26 eV                         
C169  Ar(2p10)    Excitation    1.26 eV                         
C170  Ar(2p10)    Excitation    1.27 eV                         
C171  Ar(2p10)    Excitation    1.27 eV                         
C172  Ar(2p10)    Excitation    1.30 eV                         
C173  Ar(2p10)    Ionization    2.85 eV                         
Ar(2p9)
glow-discharge/nominal-crs/BSR_CRModel.txt
C174  Ar(2p9)    Excitation    0.023 eV                         
C175  Ar(2p9)    Excitation    0.072 eV                         
C176  Ar(2p9)    Excitation    0.095 eV                         
C177  Ar(2p9)    Excitation    0.19 eV                          
C178  Ar(2p9)    Excitation    0.19 eV                          
