(0.006601299,1.033e+26)
(0.00669668,1.016e+26) 
(0.00679673,1e+26) 
(0.00690345,9.845e+25) 
(0.00701017,9.688e+25)
(0.00711689,9.532e+25) 
(0.00723695,9.377e+25) 
(0.00735701,9.222e+25)
(0.00747707,9.068e+25)
(0.00761047,8.913e+25)
(0.00775054,8.758e+25)
(0.00789728,8.602e+25)
(0.00805736,8.445e+25)
(0.00821744,8.287e+25)
(0.00839753,8.127e+25)
(0.00858429,7.965e+25)
(0.00879106,7.8e+25)
(0.00901117,7.633e+25)
(0.00924462,7.463e+25)
(0.00950475,7.29e+25)
(0.00977822,7.113e+25)
(0.01008504,6.933e+25)
(0.01041187,6.75e+25)
(0.01077872,6.562e+25)
(0.01117225,6.37e+25)
(0.01161247,6.174e+25) 
(0.01209271,5.974e+25) 
(0.01262631,5.768e+25) 
(0.01321327,5.56e+25)
(0.01386026,5.348e+25) 
(0.01458062,5.133e+25) 
(0.01538102,4.915e+25)
(0.01626813,4.695e+25)
(0.01724862,4.473e+25)
(0.01833583,4.251e+25)
(0.01954977,4.03e+25)
(0.02089044,3.81e+25)
(0.02237785,3.593e+25)
(0.02402534,3.379e+25)
(0.02584625,3.17e+25)
(0.02786059,2.967e+25)
(0.03008837,2.771e+25)
(0.0325496,2.582e+25)
(0.03526429,2.402e+25)
(0.03824578,2.23e+25)
(0.04152075,2.068e+25)
(0.04510254,1.915e+25)
(0.04900449,1.772e+25)
(0.0532266,1.64e+25)
(0.0577622,1.517e+25)
(0.06261129,1.405e+25)
(0.0677672,1.303e+25)
(0.0731699,1.211e+25)
(0.0788394,1.128e+25)
(0.084709,1.053e+25)
(0.0909121,9.855e+24)
(0.0973153,9.247e+24)
(0.1041187,8.697e+24)
(0.1111889,8.199e+24)
(0.118726,7.746e+24)
(0.1266633,7.331e+24)
(0.1351342,6.949e+24)
(0.1442721,6.596e+24)
(0.1539436,6.269e+24)
(0.1644155,5.965e+24)
(0.1755544,5.68e+24)
(0.187427,5.415e+24)
(0.2001,5.166e+24)
(0.2135067,4.933e+24)
(0.2275804,4.715e+24)
(0.2422544,4.512e+24)
(0.257462,4.322e+24)
(0.2731365,4.144e+24)
(0.2890111,3.979e+24)
(0.3050858,3.826e+24)
(0.3211605,3.683e+24)
(0.3371685,3.55e+24)
(0.3530431,3.427e+24)
(0.3685842,3.312e+24)
(0.3838585,3.205e+24)
(0.3986659,3.106e+24)
(0.4131398,3.013e+24)
(0.4272135,2.926e+24)
(0.4408203,2.844e+24)
(0.4540269,2.767e+24)
(0.4669,2.694e+24)
(0.4793729,2.625e+24)
(0.4914456,2.559e+24)
(0.5031848,2.496e+24)
(0.5145905,2.435e+24)
(0.5256627,2.377e+24)
(0.5364681,2.322e+24)
(0.5468733,2.268e+24)
(0.5570117,2.216e+24)
(0.5668166,2.166e+24)
(0.5762213,2.117e+24)
(0.5853592,2.071e+24)
(0.5941636,2.025e+24)
(0.6025678,1.982e+24)
(0.6107052,1.94e+24)
(0.6184424,1.899e+24)
(0.6258461,1.861e+24)
(0.6329163,1.823e+24)
(0.6395863,1.787e+24)
(0.6460562,1.753e+24)
(0.6521926,1.719e+24)
(0.6579955,1.688e+24)
(0.6635983,1.657e+24)
(0.669001,1.628e+24)
(0.67367,1.6e+24)
(0.679006,1.57e+24)
(0.683675,1.544e+24)
(0.688344,1.52e+24)
(0.692346,1.495e+24) 
(0.697015,1.474e+24)
(0.701017,1.451e+24)
(0.705686,1.431e+24)
(0.709688,1.408e+24)
(0.71369,1.393e+24)
(0.718359,1.368e+24) 
(0.723028,1.35e+24)
(0.728364,1.329e+24)
(0.7337,1.315e+24)
(0.74037,1.291e+24)
(0.747707,1.278e+24)
(0.758379,1.253e+24) 
(0.771052,1.237e+24) 
(0.789061,1.223e+24) 
(0.812406,1.2e+24)
(0.843755,1.185e+24) 
(0.886443,1.166e+24)
(0.941137,1.151e+24)
(1.007837,1.124e+24)
(1.098549,1.116e+24)
(1.197932,1.092e+24) 
(1.324662,1.079e+24) 
(1.460063,1.058e+24)
(1.622811,1.052e+24) 
(1.788227,1.034e+24)
(1.968984,1.021e+24)
(2.159746,1.007e+24)
(2.351842,9.994e+23)
(2.545939,9.871e+23) 
(2.738702,9.739e+23) 
(2.930798,9.642e+23)
(3.114223,9.495e+23)
(3.328997,9.451e+23)
(3.498415,9.291e+23)
(3.694513,9.188e+23)
(3.899282,9.116e+23)
(4.084041,8.974e+23)
(4.293479,8.883e+23)
(4.49558,8.761e+23)
(4.701016,8.628e+23) 
(4.927129,8.519e+23)
(5.161913,8.405e+23)
(5.397364,8.268e+23)
(5.655493,8.143e+23)
(5.931631,8.027e+23)
(6.213772,7.888e+23)
(6.518591,7.753e+23)
(6.85009,7.631e+23)
(7.19026,7.49e+23)
(7.56378,7.359e+23)
(7.96398,7.223e+23)
(8.38419,7.085e+23)
(8.84442,6.953e+23)
(9.32466,6.812e+23) 
(9.85159,6.677e+23)
(10.41854,6.544e+23) 
