(	6.66E-02	,	0.0	)
(	1.89E-01	,	0.0	)
(	3.12E-01	,	1.00E-25	)
(	4.35E-01	,	1.76E-22	)
(	5.57E-01	,	8.21E-21	)
(	6.80E-01	,	1.00E-19	)
(	8.03E-01	,	5.86E-19	)
(	9.25E-01	,	2.18E-18	)
(	1.05E+00	,	6.01E-18	)
(	1.17E+00	,	1.35E-17	)
(	1.29E+00	,	2.62E-17	)
(	1.42E+00	,	4.53E-17	)
(	1.54E+00	,	7.21E-17	)
(	1.66E+00	,	1.07E-16	)
(	1.78E+00	,	1.51E-16	)
(	1.91E+00	,	2.04E-16	)
(	2.03E+00	,	2.66E-16	)
(	2.15E+00	,	3.37E-16	)
(	2.27E+00	,	4.15E-16	)
(	2.40E+00	,	5.01E-16	)
(	2.77E+00	,	8.00E-16	)
(	3.45E+00	,	1.43E-15	)
(	4.12E+00	,	2.10E-15	)
(	4.80E+00	,	2.72E-15	)
(	5.48E+00	,	3.29E-15	)
(	6.15E+00	,	3.78E-15	)
(	6.83E+00	,	4.19E-15	)
(	7.51E+00	,	4.54E-15	)
(	8.18E+00	,	4.83E-15	)
(	8.85E+00	,	5.06E-15	)
(	9.53E+00	,	5.24E-15	)
(	1.02E+01	,	5.39E-15	)
(	1.09E+01	,	5.50E-15	)
(	1.16E+01	,	5.58E-15	)
(	1.22E+01	,	5.64E-15	)
(	1.29E+01	,	5.68E-15	)
(	1.36E+01	,	5.71E-15	)
(	1.43E+01	,	5.71E-15	)
(	1.49E+01	,	5.71E-15	)
(	1.56E+01	,	5.70E-15	)
(	1.63E+01	,	5.67E-15	)
(	1.70E+01	,	5.64E-15	)
(	1.76E+01	,	5.61E-15	)
(	1.83E+01	,	5.57E-15	)
(	1.90E+01	,	5.52E-15	)
(	1.97E+01	,	5.47E-15	)
(	2.04E+01	,	5.42E-15	)
(	2.10E+01	,	5.37E-15	)
(	2.17E+01	,	5.31E-15	)
(	2.24E+01	,	5.26E-15	)
(	2.31E+01	,	5.20E-15	)
(	2.37E+01	,	5.14E-15	)
(	2.44E+01	,	5.08E-15	)
(	2.51E+01	,	5.02E-15	)
(	2.58E+01	,	4.96E-15	)
(	2.64E+01	,	4.91E-15	)
(	2.71E+01	,	4.85E-15	)
(	2.78E+01	,	4.79E-15	)
(	2.85E+01	,	4.73E-15	)
(	2.91E+01	,	4.67E-15	)
(	2.98E+01	,	4.61E-15	)
(	3.05E+01	,	4.56E-15	)
(	3.12E+01	,	4.50E-15	)
(	3.18E+01	,	4.44E-15	)
(	3.25E+01	,	4.39E-15	)
(	3.32E+01	,	4.33E-15	)
(	3.39E+01	,	4.28E-15	)
(	3.46E+01	,	4.23E-15	)
(	3.52E+01	,	4.18E-15	)
(	3.59E+01	,	4.12E-15	)
(	3.66E+01	,	4.07E-15	)
(	3.73E+01	,	4.02E-15	)
(	3.79E+01	,	3.97E-15	)
(	3.86E+01	,	3.93E-15	)
(	3.93E+01	,	3.88E-15	)
(	4.00E+01	,	3.83E-15	)
