(	6.66E-02	,	0.00	)
(	2.38E-01	,	3.53E-19	)
(	4.10E-01	,	3.07E-17	)
(	5.82E-01	,	1.95E-16	)
(	7.53E-01	,	5.36E-16	)
(	9.25E-01	,	1.01E-15	)
(	1.10E+00	,	1.56E-15	)
(	1.27E+00	,	2.13E-15	)
(	1.44E+00	,	2.69E-15	)
(	1.61E+00	,	3.23E-15	)
(	1.78E+00	,	3.74E-15	)
(	1.96E+00	,	4.21E-15	)
(	2.13E+00	,	4.63E-15	)
(	2.30E+00	,	5.02E-15	)
(	2.47E+00	,	5.37E-15	)
(	2.64E+00	,	5.69E-15	)
(	2.81E+00	,	5.97E-15	)
(	2.99E+00	,	6.23E-15	)
(	3.16E+00	,	6.46E-15	)
(	3.33E+00	,	6.66E-15	)
(	3.45E+00	,	6.79E-15	)
(	4.01E+00	,	7.28E-15	)
(	4.57E+00	,	7.61E-15	)
(	5.14E+00	,	7.83E-15	)
(	5.70E+00	,	7.97E-15	)
(	6.26E+00	,	8.04E-15	)
(	6.83E+00	,	8.07E-15	)
(	7.39E+00	,	8.06E-15	)
(	7.95E+00	,	8.03E-15	)
(	8.51E+00	,	7.98E-15	)
(	9.08E+00	,	7.91E-15	)
(	9.64E+00	,	7.83E-15	)
(	1.02E+01	,	7.75E-15	)
(	1.08E+01	,	7.66E-15	)
(	1.13E+01	,	7.56E-15	)
(	1.19E+01	,	7.46E-15	)
(	1.25E+01	,	7.36E-15	)
(	1.30E+01	,	7.26E-15	)
(	1.36E+01	,	7.15E-15	)
(	1.41E+01	,	7.05E-15	)
(	1.47E+01	,	6.95E-15	)
(	1.53E+01	,	6.85E-15	)
(	1.58E+01	,	6.75E-15	)
(	1.64E+01	,	6.65E-15	)
(	1.70E+01	,	6.55E-15	)
(	1.75E+01	,	6.45E-15	)
(	1.81E+01	,	6.36E-15	)
(	1.87E+01	,	6.26E-15	)
(	1.92E+01	,	6.17E-15	)
(	1.98E+01	,	6.08E-15	)
(	2.03E+01	,	6.00E-15	)
(	2.09E+01	,	5.91E-15	)
(	2.15E+01	,	5.83E-15	)
(	2.20E+01	,	5.74E-15	)
(	2.26E+01	,	5.66E-15	)
(	2.32E+01	,	5.58E-15	)
(	2.37E+01	,	5.51E-15	)
(	2.43E+01	,	5.43E-15	)
(	2.49E+01	,	5.36E-15	)
(	2.54E+01	,	5.29E-15	)
(	2.60E+01	,	5.21E-15	)
(	2.65E+01	,	5.15E-15	)
(	2.71E+01	,	5.08E-15	)
(	2.77E+01	,	5.01E-15	)
