(0.006601299,9.155e+23)
(0.00669668,9.168e+23)
(0.00679673,9.18e+23)
(0.00690345,9.193e+23)
(0.00701017,9.206e+23)
(0.00711689,9.219e+23)
(0.00723695,9.232e+23)
(0.00735701,9.245e+23) 
(0.00747707,9.258e+23)
(0.00761047,9.271e+23)
(0.00775054,9.284e+23)
(0.00789728,9.298e+23)
(0.00805736,9.313e+23)
(0.00821744,9.328e+23) 
(0.00839753,9.343e+23)
(0.00858429,9.359e+23)
(0.00879106,9.375e+23)
(0.00901117,9.392e+23)
(0.00924462,9.41e+23) 
(0.00950475,9.428e+23) 
(0.00977822,9.447e+23)
(0.01008504,9.467e+23)
(0.01041187,9.488e+23) 
(0.01077872,9.51e+23) 
(0.01117225,9.533e+23)
(0.01161247,9.557e+23) 
(0.01209271,9.582e+23) 
(0.01262631,9.606e+23) 
(0.01321327,9.634e+23)
(0.01386026,9.662e+23)
(0.01458062,9.692e+23) 
(0.01538102,9.722e+23) 
(0.01626813,9.753e+23)
(0.01724862,9.785e+23) 
(0.01833583,9.816e+23)
(0.01954977,9.851e+23) 
(0.02089044,9.886e+23)
(0.02237785,9.921e+23)
(0.02402534,9.956e+23)
(0.02584625,9.993e+23)
(0.02786059,1.003e+24)
(0.03008837,1.007e+24)
(0.0325496,1.011e+24)
(0.03526429,1.015e+24)
(0.03824578,1.019e+24)
(0.04152075,1.023e+24)
(0.04510254,1.028e+24)
(0.04900449,1.033e+24)
(0.0532266,1.038e+24)
(0.0577622,1.043e+24)
(0.06261129,1.048e+24) 
(0.0677672,1.054e+24) 
(0.0731699,1.06e+24)
(0.0788394,1.067e+24)
(0.084709,1.074e+24) 
(0.0909121,1.081e+24)
(0.0973153,1.089e+24)
(0.1041187,1.097e+24) 
(0.1111889,1.106e+24)
(0.118726,1.115e+24)
(0.1266633,1.125e+24)
(0.1351342,1.137e+24)
(0.1442721,1.149e+24)
(0.1539436,1.162e+24)
(0.1644155,1.177e+24)
(0.1755544,1.193e+24)
(0.187427,1.21e+24)
(0.2001,1.229e+24)
(0.2135067,1.249e+24)
(0.2275804,1.27e+24)
(0.2422544,1.292e+24) 
(0.257462,1.315e+24)
(0.2731365,1.339e+24)
(0.2890111,1.363e+24)
(0.3050858,1.387e+24)
(0.3211605,1.412e+24)
(0.3371685,1.436e+24)
(0.3530431,1.459e+24) 
(0.3685842,1.482e+24)
(0.3838585,1.504e+24)
(0.3986659,1.524e+24)
(0.4131398,1.544e+24)
(0.4272135,1.563e+24)
(0.4408203,1.581e+24) 
(0.4540269,1.598e+24)
(0.4669,1.614e+24)
(0.4793729,1.629e+24)
(0.4914456,1.642e+24) 
(0.5031848,1.655e+24)
(0.5145905,1.667e+24) 
(0.5256627,1.678e+24)
(0.5364681,1.688e+24)
(0.5468733,1.698e+24)
(0.5570117,1.706e+24)
(0.5668166,1.714e+24)
(0.5762213,1.721e+24)
(0.5853592,1.728e+24)
(0.5941636,1.733e+24) 
(0.6025678,1.738e+24) 
(0.6107052,1.743e+24)
(0.6184424,1.747e+24)
(0.6258461,1.75e+24)
(0.6329163,1.753e+24)
(0.6395863,1.755e+24)
(0.6460562,1.757e+24)
(0.6521926,1.759e+24) 
(0.6579955,1.76e+24)
(0.6635983,1.761e+24)
