(	6.66E-02	,	0.0	)
(	2.38E-01	,	0.0	)
(	4.10E-01	,	0.0	)
(	5.82E-01	,	0.0	)
(	7.53E-01	,	4.45E-24	)
(	9.25E-01	,	2.89E-22	)
(	1.10E+00	,	4.60E-21	)
(	1.27E+00	,	3.51E-20	)
(	1.44E+00	,	1.68E-19	)
(	1.61E+00	,	5.81E-19	)
(	1.78E+00	,	1.60E-18	)
(	1.96E+00	,	3.73E-18	)
(	2.13E+00	,	7.61E-18	)
(	2.30E+00	,	1.41E-17	)
(	2.47E+00	,	2.40E-17	)
(	2.64E+00	,	3.84E-17	)
(	2.81E+00	,	5.82E-17	)
(	2.99E+00	,	8.44E-17	)
(	3.16E+00	,	1.18E-16	)
(	3.33E+00	,	1.60E-16	)
(	3.46E+00	,	1.96E-16	)
(	4.14E+00	,	4.84E-16	)
(	4.81E+00	,	9.45E-16	)
(	5.49E+00	,	1.59E-15	)
(	6.17E+00	,	2.41E-15	)
(	6.85E+00	,	3.39E-15	)
(	7.53E+00	,	4.52E-15	)
(	8.21E+00	,	5.78E-15	)
(	8.89E+00	,	7.14E-15	)
(	9.56E+00	,	8.60E-15	)
(	1.02E+01	,	1.01E-14	)
(	1.09E+01	,	1.17E-14	)
(	1.16E+01	,	1.34E-14	)
(	1.23E+01	,	1.51E-14	)
(	1.30E+01	,	1.68E-14	)
(	1.36E+01	,	1.86E-14	)
(	1.43E+01	,	2.04E-14	)
(	1.50E+01	,	2.21E-14	)
(	1.57E+01	,	2.39E-14	)
(	1.63E+01	,	2.57E-14	)
(	1.70E+01	,	2.75E-14	)
(	1.77E+01	,	2.93E-14	)
(	1.84E+01	,	3.11E-14	)
(	1.91E+01	,	3.28E-14	)
(	1.97E+01	,	3.46E-14	)
(	2.04E+01	,	3.63E-14	)
(	2.11E+01	,	3.80E-14	)
(	2.18E+01	,	3.97E-14	)
(	2.24E+01	,	4.14E-14	)
(	2.31E+01	,	4.31E-14	)
(	2.38E+01	,	4.47E-14	)
(	2.45E+01	,	4.64E-14	)
(	2.52E+01	,	4.80E-14	)
(	2.58E+01	,	4.96E-14	)
(	2.65E+01	,	5.11E-14	)
(	2.72E+01	,	5.27E-14	)
(	2.79E+01	,	5.42E-14	)
(	2.86E+01	,	5.57E-14	)
(	2.92E+01	,	5.72E-14	)
(	2.99E+01	,	5.87E-14	)
(	3.06E+01	,	6.01E-14	)
(	3.13E+01	,	6.15E-14	)
(	3.19E+01	,	6.29E-14	)
(	3.26E+01	,	6.43E-14	)
(	3.33E+01	,	6.57E-14	)
